Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,7,18651.148121330607,0.93016,1,1,[0.9813],[0.0313],499.73368644714355,[(485.82435;[1.];[0.05];18738.59174;1;1;[0.9813];[0.0313];18651.14812;10)]
1,1,14045.890779539508,0.93593,1,0,[0.9382],[-0.0118],455.2013874053955,[(441.32590;[1.];[0.05];16827.72792;1;0;[0.9382];[-0.0118];14045.89078;10)]
1,4,14043.171782806556,0.93575,1,1,[1.],[0.05],510.11037826538086,[(495.97788;[1.];[0.05];13543.84359;1;1;[1.];[0.05];14043.17178;10)]
1,5,12109.312431626353,0.80689,1,1,[1.],[0.05],565.6137466430664,[(551.88918;[1.];[0.05];11740.24432;1;1;[1.];[0.05];12109.31243;10)]
1,2,14106.387866192505,0.93996,1,0,[0.9483],[-0.0017],596.6322422027588,[(582.70073;[1.];[0.05];16079.04380;1;0;[0.9483];[-0.0017];14106.38787;10)]
0,5,15893.27040222999,0.79262,1,1,[1.],[0.05],714.0841484069824,[(700.43969;[1.];[0.05];15213.32655;1;1;[1.];[0.05];15893.27040;10)]
0,8,18784.484854812956,0.93681,1,1,[1.],[0.05],557.9202175140381,[(544.28697;[1.];[0.05];17451.54628;1;1;[1.];[0.05];18784.48485;10)]
0,1,18504.8414689842,0.92287,1,1,[0.9621],[0.0121],599.381685256958,[(585.68645;[1.];[0.05];21698.33962;1;1;[0.9621];[0.0121];18504.84147;10)]
0,4,18474.084646243053,0.92133,1,1,[1.],[0.05],588.5443687438965,[(574.16224;[1.];[0.05];17403.75220;1;1;[1.];[0.05];18474.08465;10)]
0,2,18379.6118351064,0.91662,1,0,[0.9258],[-0.0242],605.233907699585,[(582.01337;[1.];[0.05];21184.52793;1;0;[0.9258];[-0.0242];18379.61184;10)]
1,7,14290.45659543936,0.95222,1,1,[0.9726],[0.0226],371.7472553253174,[(358.26039;[1.];[0.05];14236.10610;1;1;[0.9726];[0.0226];14290.45660;10)]
1,8,13970.0282156337,0.93087,1,1,[1.],[0.05],483.5350513458252,[(469.70296;[1.];[0.05];13347.86520;1;1;[1.];[0.05];13970.02822;10)]
2,1,10774.898716471755,0.95001,1,0,[0.9083],[-0.0417],570.1010227203369,[(556.11539;[1.];[0.05];13106.69600;1;0;[0.9083];[-0.0417];10774.89872;10)]
2,5,10004.391738660686,0.88208,1,1,[1.],[0.05],463.7613296508789,[(449.78404;[1.];[0.05];9145.18136;1;1;[1.];[0.05];10004.39174;10)]
2,2,10761.20990080819,0.9488,1,0,[0.9038],[-0.0462],471.4689254760742,[(457.59559;[1.];[0.05];12484.69626;1;0;[0.9038];[-0.0462];10761.20990;10)]
2,4,10971.851028549432,0.96738,1,1,[0.9592],[0.0092],592.3798084259033,[(568.91084;[1.];[0.05];10534.59271;1;1;[0.9592];[0.0092];10971.85103;10)]
2,8,10711.779830166477,0.94445,1,1,[1.],[0.05],360.11767387390137,[(346.07458;[1.];[0.05];10322.06967;1;1;[1.];[0.05];10711.77983;10)]
3,1,8245.4705092029,0.96359,1,0,[0.8327],[-0.1173],384.7956657409668,[(371.04630;[1.];[0.05];10093.80366;1;0;[0.8327];[-0.1173];8245.47051;10)]
2,7,10974.307652782998,0.96759,1,1,[0.9525],[0.0025],488.76023292541504,[(465.80315;[1.];[0.05];10836.50423;1;1;[0.9525];[0.0025];10974.30765;10)]
3,4,8337.742415699095,0.97437,1,0,[0.9059],[-0.0441],537.4448299407959,[(514.68015;[1.];[0.05];8168.20144;1;0;[0.9059];[-0.0441];8337.74242;10)]
3,5,6964.017160637609,0.81384,1,1,[1.],[0.05],524.766206741333,[(511.29556;[1.];[0.05];7117.46017;1;1;[1.];[0.05];6964.01716;10)]
3,2,8319.315190404857,0.97222,1,0,[0.913],[-0.037],3179.898262023926,"[(408.90956;[0.8];[-0.15];9591.42294;1;0;[0.8483];[-0.1017];8306.68629;10),(1791.24069;[0.8];[-0.15];9591.42294;1;0;[0.8483];[-0.1017];8306.68629;10),(2421.71812;[0.8];[-0.15];9591.42294;1;0;[0.8483];[-0.1017];8306.68629;10),(2804.93712;[0.8];[-0.15];9518.76482;1;0;[0.8866];[-0.0634];8371.33095;10),(3162.30178;[1.];[0.05];9339.78931;1;0;[0.913];[-0.037];8319.31519;10)]"
3,7,8251.423341163874,0.96429,1,0,[0.9009],[-0.0491],645.4670429229736,[(624.27306;[1.];[0.05];8192.24697;1;0;[0.9009];[-0.0491];8251.42334;10)]
3,8,8283.459218822012,0.96803,1,1,[0.9838],[0.0338],405.5922031402588,[(373.31986;[1.];[0.05];7932.02117;1;1;[0.9838];[0.0338];8283.45922;10)]
