Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
1,5,30640.351297838988,0.91824,1,1,[0.9983],[0.0483],7693.948268890381,[(7574.68057;[1.];[0.05];35848.47912;1;1;[0.9983];[0.0483];30640.35130;100)]
0,3,49650.27665641439,0.96049,1,1,[0.9997],[0.0497],7749.71866607666,[(7631.05536;[1.];[0.05];46151.05135;1;1;[0.9997];[0.0497];49650.27666;100)]
0,7,45395.31630743565,0.87817,1,1,[0.9998],[0.0498],7800.240039825439,[(7677.46186;[1.];[0.05];75242.48058;1;1;[0.9998];[0.0498];45395.31631;100)]
1,4,30755.348149215228,0.92169,1,1,[0.9987],[0.0487],7916.910171508789,[(7792.11235;[1.];[0.05];31420.70439;1;1;[0.9987];[0.0487];30755.34815;100)]
0,5,48367.58276158482,0.93567,1,1,[0.9994],[0.0494],7728.6317348480225,[(7573.10247;[1.];[0.05];54026.11947;1;1;[0.9994];[0.0494];48367.58276;100)]
0,8,50879.85826630237,0.98427,1,1,[0.9991],[0.0491],8017.240524291992,[(7893.12196;[1.];[0.05];56429.13697;1;1;[0.9991];[0.0491];50879.85827;100)]
1,3,32098.416034866423,0.96194,1,1,[0.9996],[0.0496],8270.390033721924,[(8151.56913;[1.];[0.05];29561.08228;1;1;[0.9996];[0.0496];32098.41603;100)]
1,1,33128.5060221189,0.99281,1,1,[0.998],[0.048],7874.777555465698,[(7719.89346;[1.];[0.05];33944.93244;1;1;[0.998];[0.048];33128.50602;100)]
0,1,51156.76317679375,0.98963,1,1,[1.],[0.05],7987.5733852386475,[(7826.55120;[1.];[0.05];52538.09105;1;1;[1.];[0.05];51156.76318;100)]
0,4,49141.559596555715,0.95065,1,1,[0.9992],[0.0492],8430.081844329834,[(8302.77586;[1.];[0.05];48108.71540;1;1;[0.9992];[0.0492];49141.55960;100)]
0,9,43014.327592503665,0.83211,1,1,[0.9951],[0.0451],8266.162157058716,[(8100.60835;[1.];[0.05];61072.70126;1;1;[0.9951];[0.0451];43014.32759;100)]
