Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,5,48367.58276158482,0.93567,1,1,[0.9994],[0.0494],301868.6695098877,[(301532.65047;[0.9992];[0.0492];47950.27464;1;1;[0.9994];[0.0494];48367.58276;100)]
0,3,49650.27665641439,0.96049,1,1,[0.9997],[0.0497],326099.0071296692,[(325746.59991;[0.9999];[0.0499];49578.68639;1;1;[0.9997];[0.0497];49650.27666;100)]
0,6,49762.516059597176,0.96266,1,1,[0.9999],[0.0499],340916.6965484619,[(340583.27174;[0.9995];[0.0495];49360.35276;1;1;[0.9999];[0.0499];49762.51606;100)]
0,1,51156.76317679375,0.98963,1,1,[1.],[0.05],324641.1793231964,[(324262.85601;[1.];[0.05];51742.80677;1;1;[1.];[0.05];51156.76318;100)]
0,4,49141.559596555715,0.95065,1,1,[0.9992],[0.0492],341307.84940719604,[(340947.74723;[0.9997];[0.0497];50164.85851;1;1;[0.9992];[0.0492];49141.55960;100)]
0,2,50314.97203097381,0.97334,1,1,[0.998],[0.048],359961.21096611023,"[(321387.01177;[0.8144];[-0.1356];53016.93796;1;0;[0.8094];[-0.1406];48645.38483;100),(359610.31008;[0.9979];[0.0479];53458.30694;1;1;[0.998];[0.048];50314.97203;200)]"
0,7,50231.31416496854,0.97173,1,1,[0.9997],[0.0497],333838.1316661835,"[(299801.89037;[0.9998];[0.0498];45395.31631;1;1;[0.9998];[0.0498];45395.31631;100),(311964.27345;[0.9988];[0.0488];48158.23157;1;1;[0.9988];[0.0488];48158.23157;200),(333524.10817;[0.9997];[0.0497];50231.31416;1;1;[0.9997];[0.0497];50231.31416;400)]"
0,8,50879.85826630237,0.98427,1,1,[0.9991],[0.0491],358072.92795181274,[(357684.03244;[0.9994];[0.0494];53477.93611;1;1;[0.9991];[0.0491];50879.85827;100)]
1,1,33128.5060221189,0.99281,1,1,[0.998],[0.048],337860.55183410645,[(337485.31890;[0.9982];[0.0482];33573.83710;1;1;[0.998];[0.048];33128.50602;100)]
0,9,48314.15462970677,0.93464,1,1,[0.9946],[0.0446],407495.2096939087,"[(342518.84460;[0.9947];[0.0447];43195.67915;1;1;[0.9951];[0.0451];43014.32759;100),(372640.64884;[0.9975];[0.0475];45034.19506;1;1;[0.997];[0.047];45616.23754;200),(407159.51777;[0.9944];[0.0444];49828.71411;1;1;[0.9946];[0.0446];48314.15463;400)]"
0,10,50203.98910597954,0.9712,1,1,[0.9905],[0.0405],429847.88703918457,"[(358732.15508;[0.8392];[-0.1108];53501.80241;1;0;[0.841];[-0.109];48472.96532;100),(391570.77169;[0.7946];[-0.1554];53304.92716;1;0;[0.7951];[-0.1549];47275.47665;200),(429458.36425;[0.9874];[0.0374];55941.53183;1;1;[0.9905];[0.0405];50203.98911;400)]"
1,3,32098.416034866423,0.96194,1,1,[0.9996],[0.0496],353716.0849571228,[(353351.83740;[0.9996];[0.0496];32046.30704;1;1;[0.9996];[0.0496];32098.41603;100)]
1,2,32231.04456544104,0.96591,1,0,[0.722],[-0.228],629740.5698299408,"[(347328.42207;[0.5771];[-0.3729];35317.44151;1;0;[0.5713];[-0.3787];30889.89762;100),(366211.19475;[0.7252];[-0.2248];35217.57869;1;0;[0.722];[-0.228];32231.04457;200)]"
1,4,30755.348149215228,0.92169,1,1,[0.9987],[0.0487],302053.2925128937,[(301725.83699;[0.9992];[0.0492];31545.57944;1;1;[0.9987];[0.0487];30755.34815;100)]
1,5,30640.351297838988,0.91824,1,1,[0.9983],[0.0483],350663.06138038635,[(350325.63114;[0.9984];[0.0484];30479.55363;1;1;[0.9983];[0.0483];30640.35130;100)]
1,6,32318.29356697106,0.96853,1,1,[0.9995],[0.0495],329780.05862236023,[(329403.26548;[0.9992];[0.0492];32044.20182;1;1;[0.9995];[0.0495];32318.29357;100)]
1,7,31663.282215631953,0.9489,1,1,[0.9994],[0.0494],406104.6371459961,"[(368491.63485;[0.6417];[-0.3083];27642.39181;1;0;[0.6417];[-0.3083];27642.39181;100),(381764.88304;[0.9626];[0.0126];30845.97824;1;1;[0.9626];[0.0126];30845.97824;200),(405751.56617;[0.9994];[0.0494];31663.28222;1;1;[0.9994];[0.0494];31663.28222;400)]"
1,8,32861.93222565776,0.98482,1,1,[0.9931],[0.0431],324653.4335613251,[(324314.87346;[0.994];[0.044];34897.32066;1;1;[0.9931];[0.0431];32861.93223;100)]
1,9,31481.2542262271,0.94344,1,1,[0.9877],[0.0377],351563.4889602661,"[(319611.98664;[0.5365];[-0.4135];24856.78952;1;0;[0.5307];[-0.4193];24560.37078;100),(338675.12774;[0.9907];[0.0407];28284.47880;1;1;[0.9924];[0.0424];28635.50328;200),(351254.22382;[0.988];[0.038];33340.75433;1;1;[0.9877];[0.0377];31481.25423;400)]"
2,3,20854.961869983214,0.95465,1,1,[0.9987],[0.0487],329276.6225337982,[(328940.21082;[0.9991];[0.0491];20888.46930;1;1;[0.9987];[0.0487];20854.96187;100)]
