Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,3,19007.33073316298,0.94793,1,1,[0.9669],[0.0169],1083.6822986602783,[(1068.13669;[0.96];[0.01];18784.94772;1;1;[0.9669];[0.0169];19007.33073;100)]
1,3,14322.510492531586,0.95436,1,1,[0.975],[0.025],883.087158203125,[(857.01847;[0.97];[0.02];14223.27189;1;1;[0.975];[0.025];14322.51049;100)]
0,4,19676.54227610379,0.9813,1,1,[0.9752],[0.0252],1189.6655559539795,[(1173.92850;[0.98];[0.03];18135.72019;1;1;[0.9752];[0.0252];19676.54228;100)]
0,7,19628.62071590804,0.97891,1,0,[0.944],[-0.006],1205.1465511322021,[(1189.33511;[0.97];[0.02];19238.39257;1;0;[0.944];[-0.006];19628.62072;100)]
0,6,19613.21463833538,0.97814,1,1,[1.],[0.05],978.8265228271484,[(952.55637;[1.];[0.05];17719.22427;1;1;[1.];[0.05];19613.21464;100)]
1,4,14327.10889254873,0.95467,1,1,[0.9807],[0.0307],1114.6059036254883,[(1088.41801;[0.99];[0.04];13851.57165;1;1;[0.9807];[0.0307];14327.10889;100)]
1,6,14591.134740438803,0.97226,1,1,[1.],[0.05],1072.8976726531982,[(1056.93507;[1.];[0.05];13398.91747;1;1;[1.];[0.05];14591.13474;100)]
1,7,14679.03210123549,0.97812,1,0,[0.938],[-0.012],1146.9855308532715,[(1131.77061;[0.98];[0.03];14564.14031;1;0;[0.938];[-0.012];14679.03210;100)]
2,3,10989.478848786473,0.96893,1,1,[0.9582],[0.0082],682.304859161377,[(667.24086;[0.95];[0.];10938.64536;1;1;[0.9582];[0.0082];10989.47885;100)]
2,4,10994.760682179582,0.9694,1,1,[0.9554],[0.0054],678.5843372344971,[(662.77146;[0.98];[0.03];10639.39704;1;1;[0.9554];[0.0054];10994.76068;100)]
0,9,19914.02523929704,0.99314,1,0,[0.8988],[-0.0512],20641.419649124146,"[(1003.55291;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(7209.80883;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(10296.56315;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(13567.19089;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(16736.47547;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(19867.03587;[0.94];[-0.01];21158.47331;1;0;[0.8524];[-0.0976];20038.69352;100),(20362.52189;[0.95];[0.];21036.76071;1;0;[0.8988];[-0.0512];19914.02524;100),(20625.64492;[0.97];[0.02];20777.37122;1;0;[0.9338];[-0.0162];19648.25831;100)]"
1,5,14634.935250906377,0.97518,1,1,[1.],[0.05],21482.601642608643,"[(827.07691;[0.86];[-0.09];14726.25792;1;0;[0.8476];[-0.1024];14917.91308;100),(7562.09850;[0.85];[-0.1];14725.70750;1;0;[0.8471];[-0.1029];14917.60675;100),(10943.41302;[0.85];[-0.1];14725.70750;1;0;[0.8471];[-0.1029];14917.60675;100),(14374.80807;[0.85];[-0.1];14725.70750;1;0;[0.8471];[-0.1029];14917.60675;100),(17800.33112;[0.85];[-0.1];14725.70750;1;0;[0.8471];[-0.1029];14917.60675;100),(21135.67233;[0.85];[-0.1];14725.70750;1;0;[0.8471];[-0.1029];14917.60675;100),(21465.18517;[1.];[0.05];14314.36576;1;1;[1.];[0.05];14634.93525;100)]"
0,1,19265.27638691096,0.96079,1,1,[0.9905],[0.0405],21485.074043273926,"[(774.01757;[0.92];[-0.03];19859.74697;1;0;[0.9456];[-0.0044];19667.00892;100),(7427.91343;[0.92];[-0.03];19858.81379;1;0;[0.9483];[-0.0017];19673.20412;100),(10896.90351;[0.92];[-0.03];19858.81379;1;0;[0.9483];[-0.0017];19673.20412;100),(14405.33566;[0.92];[-0.03];19858.81379;1;0;[0.9483];[-0.0017];19673.20412;100),(17741.04834;[0.92];[-0.03];19858.81379;1;0;[0.9483];[-0.0017];19673.20412;100),(21034.22737;[0.92];[-0.03];19858.81379;1;0;[0.9483];[-0.0017];19673.20412;100),(21468.47773;[1.];[0.05];19585.42631;1;1;[0.9905];[0.0405];19265.27639;100)]"
2,6,11137.324737731302,0.98197,1,1,[1.],[0.05],735.713005065918,[(720.26873;[1.];[0.05];10200.18232;1;1;[1.];[0.05];11137.32474;100)]
