Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
2,1,11000.256096158984,0.96988,1,1,[0.9511],[0.0011],65812.18576431274,"[(29248.32320;[0.8957];[-0.0543];11252.66367;1;0;[0.8994];[-0.0506];11188.85407;100),(39103.47557;[0.8957];[-0.0543];11252.66367;1;0;[0.8994];[-0.0506];11188.85407;100),(45069.49067;[0.8956];[-0.0544];11253.03437;1;0;[0.8994];[-0.0506];11189.20536;100),(50752.28310;[0.8956];[-0.0544];11253.03437;1;0;[0.8994];[-0.0506];11189.20536;100),(56088.90057;[0.8956];[-0.0544];11253.03437;1;0;[0.8994];[-0.0506];11189.20536;100),(60437.13260;[0.8956];[-0.0544];11253.03437;1;0;[0.8994];[-0.0506];11189.20536;100),(60909.14822;[0.95];[0.];11047.88271;1;1;[0.9511];[0.0011];11000.25610;100),(63060.38141;[0.9777];[0.0277];10632.29201;1;1;[0.977];[0.027];10593.58643;100),(65572.72196;[0.9906];[0.0406];10852.73015;1;1;[0.9898];[0.0398];10813.40541;100)]"
2,4,10994.760682179582,0.9694,1,1,[0.9554],[0.0054],29167.211771011353,[(28930.66549;[0.9538];[0.0038];11153.54444;1;1;[0.9554];[0.0054];10994.76068;100)]
2,6,11137.324737731302,0.98197,1,1,[1.],[0.05],31659.229516983032,[(31416.33248;[1.];[0.05];11195.67459;1;1;[1.];[0.05];11137.32474;100)]
1,5,14332.35593237346,0.95502,1,1,[0.9825],[0.0325],193891.23034477234,"[(30526.45040;[0.8495];[-0.1005];14744.87004;1;0;[0.8476];[-0.1024];14917.91308;100),(40546.16022;[0.8491];[-0.1009];14745.30643;1;0;[0.8471];[-0.1029];14917.60675;100),(56196.15602;[0.8581];[-0.0919];14644.15605;1;0;[0.8543];[-0.0957];14800.11923;200),(87730.45993;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(105240.56911;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(122527.05812;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(140434.73983;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(157641.92080;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(174995.60714;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(192730.01552;[0.8276];[-0.1224];14852.76629;1;0;[0.8247];[-0.1253];15005.04001;400),(193192.66939;[0.9476];[-0.0024];14609.03529;1;0;[0.9478];[-0.0022];14713.81391;400),(193648.87547;[0.9863];[0.0363];14253.22594;1;1;[0.9825];[0.0325];14332.35593;400)]"
2,5,10769.251123498228,0.94951,1,1,[0.9868],[0.0368],62939.457654953,"[(29604.06184;[0.8176];[-0.1324];11209.04718;1;0;[0.8157];[-0.1343];11319.21442;100),(38973.71435;[0.8177];[-0.1323];11210.36941;1;0;[0.8156];[-0.1344];11320.27205;100),(44562.77347;[0.8177];[-0.1323];11210.36941;1;0;[0.8156];[-0.1344];11320.27205;100),(49842.11278;[0.8177];[-0.1323];11210.36941;1;0;[0.8156];[-0.1344];11320.27205;100),(55031.20279;[0.8177];[-0.1323];11210.36941;1;0;[0.8156];[-0.1344];11320.27205;100),(59361.97257;[0.8177];[-0.1323];11210.36941;1;0;[0.8156];[-0.1344];11320.27205;100),(62256.29306;[0.9201];[-0.0299];10881.32674;1;0;[0.9186];[-0.0314];10958.62124;100),(62676.90301;[0.9906];[0.0406];10718.72048;1;1;[0.9868];[0.0368];10769.25112;100)]"
0,5,19680.39186023892,0.98149,1,1,[0.9726],[0.0226],247500.57339668274,"[(29876.00899;[0.8114];[-0.1386];19695.07901;1;0;[0.804];[-0.146];19947.13518;100),(39983.78992;[0.8116];[-0.1384];19695.06183;1;0;[0.8045];[-0.1455];19946.94115;100),(56423.03205;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(66793.37621;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(76330.70421;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(85580.22118;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(93605.59201;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(102654.53100;[0.8128];[-0.1372];19696.45702;1;0;[0.8055];[-0.1445];19947.05157;200),(108000.51332;[0.9242];[-0.0258];19392.20169;1;0;[0.9215];[-0.0285];19568.62597;200),(142112.28538;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(158540.84349;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(176193.14504;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(193371.28854;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(209313.21073;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(225835.42252;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(244912.59766;[0.8623];[-0.0877];19823.66974;1;0;[0.8603];[-0.0897];20047.93203;400),(247261.57212;[0.9768];[0.0268];19526.35377;1;1;[0.9726];[0.0226];19680.39186;400)]"
0,8,19553.800853860033,0.97518,1,1,[0.9514],[0.0014],279557.22522735596,"[(29733.79254;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(40357.53465;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(45147.02630;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(50716.91346;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(56239.49313;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(61642.50708;[0.8028];[-0.1472];20448.66711;1;0;[0.7922];[-0.1578];19932.97446;100),(62160.67886;[0.8925];[-0.0575];20385.50419;1;0;[0.8836];[-0.0664];19890.47863;100),(64632.80058;[0.9259];[-0.0241];19913.00247;1;0;[0.9202];[-0.0298];19446.35477;100),(65221.59767;[0.9424];[-0.0076];19866.45913;1;0;[0.9378];[-0.0122];19455.71872;100),(81266.82830;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(90520.03503;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(100533.89430;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(108861.87673;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(117704.42677;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(129969.48171;[0.807];[-0.143];20454.40930;1;0;[0.7961];[-0.1539];19945.24738;200),(130546.56911;[0.9012];[-0.0488];20399.76428;1;0;[0.8928];[-0.0572];19920.39509;200),(131248.25811;[0.9366];[-0.0134];20113.55265;1;0;[0.9328];[-0.0172];19661.04626;200),(133208.68707;[0.9528];[0.0028];19955.98894;1;1;[0.9514];[0.0014];19553.80085;200),(168074.22781;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(186290.16924;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(205829.71525;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(224443.19463;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(241226.46403;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(258871.28854;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(276180.38106;[0.8516];[-0.0984];20523.02871;1;0;[0.8469];[-0.1031];20023.64917;400),(278450.02437;[0.9228];[-0.0272];20106.77927;1;0;[0.9175];[-0.0325];19679.84608;400),(279314.99243;[0.9597];[0.0097];19582.90005;1;1;[0.9583];[0.0083];19186.53363;400)]"
2,7,10991.089435014106,0.96907,1,1,[0.9541],[0.0041],191514.47439193726,"[(30089.90169;[0.8676];[-0.0824];11138.80608;1;0;[0.8676];[-0.0824];11138.80608;100),(39542.63067;[0.8694];[-0.0806];11146.21515;1;0;[0.8694];[-0.0806];11146.21515;100),(56468.39213;[0.948];[-0.002];11173.64804;1;0;[0.948];[-0.002];11173.64804;200),(88115.19933;[0.9166];[-0.0334];11197.37765;1;0;[0.9166];[-0.0334];11197.37765;400),(105101.15385;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(123433.92277;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(141684.36217;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(157647.95518;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(174187.84499;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(190747.41054;[0.9163];[-0.0337];11198.83965;1;0;[0.9163];[-0.0337];11198.83965;400),(191272.49479;[0.9541];[0.0041];10991.08944;1;1;[0.9541];[0.0041];10991.08944;400)]"
3,3,8001.595814687311,0.93509,1,1,[0.9754],[0.0254],67692.61145591736,"[(30615.70406;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(40689.70275;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(45005.77736;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(50091.93182;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(55133.48198;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(60813.08913;[0.8998];[-0.0502];8395.00427;1;0;[0.901];[-0.049];8379.77296;100),(63148.13375;[0.9552];[0.0052];7801.11425;1;1;[0.9547];[0.0047];7789.34708;100),(64375.31972;[0.9169];[-0.0331];8265.23844;1;0;[0.918];[-0.032];8251.33119;100),(65706.78926;[0.9621];[0.0121];7956.99316;1;1;[0.962];[0.012];7945.91404;100),(67231.15873;[0.9776];[0.0276];8011.87492;1;1;[0.9754];[0.0254];8001.59581;100)]"
2,9,10999.474632185344,0.96981,1,1,[0.9583],[0.0083],268533.9889526367,"[(32354.12216;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(42043.07771;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(47105.10135;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(52251.47295;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(56574.97001;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(61615.11326;[0.7807];[-0.1693];11275.51542;1;0;[0.7757];[-0.1743];11331.83741;100),(62506.83498;[0.8791];[-0.0709];11156.97150;1;0;[0.8776];[-0.0724];11183.00319;100),(79245.91374;[0.6799];[-0.2701];11178.53036;1;0;[0.6752];[-0.2748];11270.38581;200),(86843.20951;[0.6799];[-0.2701];11178.53036;1;0;[0.6752];[-0.2748];11270.38581;200),(98015.99598;[0.6799];[-0.2701];11178.53036;1;0;[0.6752];[-0.2748];11270.38581;200),(111899.04141;[0.7963];[-0.1537];11278.85633;1;0;[0.7906];[-0.1594];11334.44056;200),(121431.46110;[0.7963];[-0.1537];11278.85633;1;0;[0.7906];[-0.1594];11334.44056;200),(128950.82998;[0.7963];[-0.1537];11278.85633;1;0;[0.7906];[-0.1594];11334.44056;200),(130788.85794;[0.9148];[-0.0352];11082.33072;1;0;[0.9113];[-0.0387];11108.34789;200),(164316.99657;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(182409.04617;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(199849.02215;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(218153.01657;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(235778.35822;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(251611.78970;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(267855.16763;[0.9313];[-0.0187];11173.65398;1;0;[0.9304];[-0.0196];11199.80221;400),(268294.45910;[0.9569];[0.0069];11004.57737;1;1;[0.9583];[0.0083];10999.47463;400)]"
