Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
1,7,15074.766896992096,0.94226,1,0,[0.942],[-0.008],125.07033348083496,[(119.40908;[1.];[0.05];15552.71903;1;0;[0.942];[-0.008];15074.76690;10)]
0,4,17189.204325409853,0.93749,1,1,[1.],[0.05],183.09354782104492,[(179.51012;[1.];[0.05];17594.05886;1;1;[1.];[0.05];17189.20433;10)]
2,8,13138.118384022768,0.94463,1,1,[1.],[0.05],237.52760887145996,[(233.41894;[1.];[0.05];13451.31267;1;1;[1.];[0.05];13138.11838;10)]
0,7,17551.69575172564,0.95726,1,1,[0.9536],[0.0036],163.56945037841797,[(157.25231;[1.];[0.05];17871.67367;1;1;[0.9536];[0.0036];17551.69575;10)]
2,7,13041.634802652967,0.93769,1,0,[0.9068],[-0.0432],150.59137344360352,[(144.23442;[1.];[0.05];13468.31238;1;0;[0.9068];[-0.0432];13041.63480;10)]
2,4,13256.86989761685,0.95317,1,1,[1.],[0.05],224.7600555419922,[(218.49227;[1.];[0.05];13252.09347;1;1;[1.];[0.05];13256.86990;10)]
0,6,17919.058874128954,0.9773,1,0,[0.9391],[-0.0109],156.49080276489258,[(147.63618;[1.];[0.05];19129.39145;1;0;[0.9391];[-0.0109];17919.05887;10)]
0,8,17299.733936549026,0.94352,1,1,[1.],[0.05],178.694486618042,[(174.38316;[1.];[0.05];17931.50788;1;1;[1.];[0.05];17299.73394;10)]
1,5,13644.868921748299,0.85288,1,0,[0.9233],[-0.0267],296.3392734527588,[(289.99305;[1.];[0.05];16253.10742;1;0;[0.9233];[-0.0267];13644.86892;10)]
2,5,11799.469925506955,0.84838,1,0,[0.8808],[-0.0692],303.30443382263184,[(297.04690;[1.];[0.05];13969.95987;1;0;[0.8808];[-0.0692];11799.46993;10)]
1,1,15685.338746039984,0.98042,1,0,[0.9004],[-0.0496],137.9868984222412,[(130.27573;[1.];[0.05];18317.83036;1;0;[0.9004];[-0.0496];15685.33875;10)]
1,2,15556.024478069558,0.97234,1,0,[0.9239],[-0.0261],449.72872734069824,[(442.89112;[1.];[0.05];17576.85451;1;0;[0.9239];[-0.0261];15556.02448;10)]
2,1,13632.59323337368,0.98018,1,0,[0.8449],[-0.1051],177.0322322845459,[(172.97578;[1.];[0.05];15884.81716;1;0;[0.8449];[-0.1051];13632.59323;10)]
0,5,15697.12433652682,0.85612,1,1,[0.9572],[0.0072],151.3674259185791,[(145.13445;[1.];[0.05];18818.04666;1;1;[0.9572];[0.0072];15697.12434;10)]
1,4,15117.210134256095,0.94491,1,1,[1.],[0.05],178.43389511108398,[(171.75651;[1.];[0.05];15305.94182;1;1;[1.];[0.05];15117.21013;10)]
0,1,17884.72982786803,0.97543,1,0,[0.9367],[-0.0133],234.65514183044434,[(228.23453;[1.];[0.05];20997.26328;1;0;[0.9367];[-0.0133];17884.72983;10)]
1,8,15303.548483169336,0.95656,1,1,[1.],[0.05],278.4569263458252,[(273.51665;[1.];[0.05];15580.75178;1;1;[1.];[0.05];15303.54848;10)]
0,2,17798.935607828545,0.97075,1,1,[0.9516],[0.0016],462.83745765686035,[(456.15125;[1.];[0.05];19995.36962;1;1;[0.9516];[0.0016];17798.93561;10)]
0,10,17489.84131138749,0.95389,1,0,[0.8487],[-0.1013],364.64595794677734,[(358.21724;[1.];[0.05];33434.42342;1;0;[0.8487];[-0.1013];17489.84131;10)]
2,10,13346.971854409352,0.95964,1,0,[0.7254],[-0.2246],712.9967212677002,[(703.55964;[1.];[0.05];26752.55362;1;0;[0.7254];[-0.2246];13346.97185;10)]
1,10,15461.996426446498,0.96646,1,0,[0.8054],[-0.1446],791.405200958252,[(786.57532;[1.];[0.05];29914.30715;1;0;[0.8054];[-0.1446];15461.99643;10)]
2,2,13276.780152982396,0.9546,1,0,[0.9077],[-0.0423],1671.330213546753,"[(116.92286;[0.8];[-0.15];15331.35744;1;0;[0.8681];[-0.0819];13491.06248;10),(284.72376;[0.8];[-0.15];15331.35744;1;0;[0.8681];[-0.0819];13491.06248;10),(336.81130;[0.8];[-0.15];15331.35744;1;0;[0.8681];[-0.0819];13491.06248;10),(531.43740;[0.8];[-0.15];15252.80169;1;0;[0.852];[-0.098];13638.86649;10),(737.56790;[0.8];[-0.15];14983.55062;1;0;[0.8802];[-0.0698];13528.86297;10),(1348.10162;[0.9];[-0.05];14760.26110;1;0;[0.8984];[-0.0516];13390.56518;10),(1664.50405;[1.];[0.05];14612.70648;1;0;[0.9077];[-0.0423];13276.78015;10)]"
3,7,11538.791392746643,0.9431,1,0,[0.8484],[-0.1016],92.09537506103516,[(85.00671;[1.];[0.05];11809.99265;1;0;[0.8484];[-0.1016];11538.79139;10)]
4,8,10299.957775237915,0.94784,1,1,[1.],[0.05],171.16689682006836,[(164.68406;[1.];[0.05];10382.60782;1;1;[1.];[0.05];10299.95778;10)]
3,4,11614.313104557034,0.94927,1,1,[0.9973],[0.0473],340.81053733825684,[(334.34319;[1.];[0.05];11622.46829;1;1;[0.9973];[0.0473];11614.31310;10)]
3,8,11405.751074049196,0.93222,1,1,[1.],[0.05],389.47224617004395,[(381.83379;[1.];[0.05];11763.99441;1;1;[1.];[0.05];11405.75107;10)]
3,10,11670.771814112304,0.95388,1,0,[0.6377],[-0.3123],818.2501792907715,[(810.98676;[1.];[0.05];24190.15324;1;0;[0.6377];[-0.3123];11670.77181;10)]
4,7,10117.111771168993,0.93102,1,0,[0.7632],[-0.1868],123.88730049133301,[(117.84530;[1.];[0.05];10410.16871;1;0;[0.7632];[-0.1868];10117.11177;10)]
3,5,10716.27455393431,0.87587,1,0,[0.9069],[-0.0431],1186.5136623382568,"[(278.76019;[0.9];[-0.05];12185.46990;1;0;[0.7845];[-0.1655];10218.94654;10),(694.10944;[0.9];[-0.05];12185.46990;1;0;[0.7845];[-0.1655];10218.94654;10),(819.27133;[0.9];[-0.05];12185.46990;1;0;[0.7845];[-0.1655];10218.94654;10),(894.48667;[0.9];[-0.05];12185.46990;1;0;[0.7845];[-0.1655];10218.94654;10),(1178.56050;[1.];[0.05];12170.73421;1;0;[0.9069];[-0.0431];10716.27455;10)]"
4,5,9232.376509524498,0.8496,1,0,[0.7536],[-0.1964],948.1489658355713,"[(95.79849;[0.8];[-0.15];10698.54981;1;0;[0.6464];[-0.3036];8971.42382;10),(380.59855;[0.8];[-0.15];10698.54981;1;0;[0.6464];[-0.3036];8971.42382;10),(583.96792;[0.8];[-0.15];10698.54981;1;0;[0.6464];[-0.3036];8971.42382;10),(943.92633;[1.];[0.05];10604.46814;1;0;[0.7536];[-0.1964];9232.37651;10)]"
5,8,9217.8599951517,0.95392,1,1,[0.9645],[0.0145],502.3655891418457,[(482.59950;[1.];[0.05];9170.51657;1;1;[0.9645];[0.0145];9217.86000;10)]
5,7,8768.698407641414,0.90744,1,0,[0.6752],[-0.2748],1953.887701034546,"[(159.45625;[0.8];[-0.15];9210.66134;1;0;[0.6167];[-0.3333];9043.94109;10),(533.59628;[0.8];[-0.15];9210.60553;1;0;[0.6181];[-0.3319];9031.55163;10),(879.48275;[0.8];[-0.15];9210.60553;1;0;[0.6181];[-0.3319];9031.55163;10),(967.91291;[0.8];[-0.15];9190.29342;1;0;[0.6559];[-0.2941];8885.63266;10),(1228.66344;[0.9];[-0.05];9171.78067;1;0;[0.664];[-0.286];8853.32130;10),(1424.07322;[0.9];[-0.05];9071.77140;1;0;[0.6731];[-0.2769];8790.49133;10),(1665.46702;[0.9];[-0.05];9049.54752;1;0;[0.6673];[-0.2827];8771.07387;10),(1946.73276;[1.];[0.05];9044.18158;1;0;[0.6752];[-0.2748];8768.69841;10)]"
4,4,10022.900198851437,0.92235,1,0,[0.8474],[-0.1026],10179.17776107788,"[(144.96684;[0.8];[-0.15];10307.42302;1;0;[0.7908];[-0.1592];10358.30148;10),(436.42211;[0.8];[-0.15];10307.42302;1;0;[0.7908];[-0.1592];10358.30148;10),(593.37354;[0.8];[-0.15];10307.42302;1;0;[0.7908];[-0.1592];10358.30148;10),(1219.84005;[0.8];[-0.15];10063.85493;1;0;[0.7889];[-0.1611];10187.73682;10),(1691.26344;[0.8];[-0.15];8908.90651;1;0;[0.8322];[-0.1178];9163.64357;10),(2567.53039;[0.8];[-0.15];8770.98251;1;0;[0.8396];[-0.1104];9018.03393;10),(2668.80631;[0.8];[-0.15];8731.04399;1;0;[0.8393];[-0.1107];8980.69109;10),(2790.67659;[0.8];[-0.15];8557.51808;1;0;[0.8326];[-0.1174];8769.53989;10),(2935.25839;[0.9];[-0.05];7834.78860;1;0;[0.8756];[-0.0744];8055.30097;10),(3137.97379;[0.9];[-0.05];7831.11259;1;0;[0.8754];[-0.0746];8052.57420;10),(4738.09004;[0.9];[-0.05];7831.11259;1;0;[0.8754];[-0.0746];8052.57420;10),(5176.84603;[0.8];[-0.15];10307.42302;1;0;[0.7908];[-0.1592];10358.30148;10),(5387.02178;[0.9];[-0.05];7831.11259;1;0;[0.8754];[-0.0746];8052.57420;10),(7402.85516;[0.9];[-0.05];10153.11704;1;0;[0.8287];[-0.1213];10126.67254;10),(9929.26717;[0.9];[-0.05];10153.40420;1;0;[0.8287];[-0.1213];10124.94988;10),(10172.91737;[1.];[0.05];10000.29943;1;0;[0.8474];[-0.1026];10022.90020;10)]"
