Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
1,1,15986.72313092698,0.99926,1,1,[1.],[0.05],237.05291748046875,[(231.17733;[1.];[0.05];16303.81118;1;1;[1.];[0.05];15986.72313;100)]
2,4,13789.636200422561,0.99147,1,1,[1.],[0.05],204.3302059173584,[(198.39478;[1.];[0.05];13320.61215;1;1;[1.];[0.05];13789.63620;100)]
0,8,18161.03189376399,0.9905,1,0,[0.9131],[-0.0369],236.95850372314453,[(230.49259;[0.97];[0.02];19459.56086;1;0;[0.9131];[-0.0369];18161.03189;100)]
0,9,18083.889285827914,0.98629,1,0,[0.8968],[-0.0532],188.2193088531494,[(178.34258;[0.95];[0.];19136.21715;1;0;[0.8968];[-0.0532];18083.88929;100)]
1,3,15972.192225271257,0.99835,1,1,[0.9993],[0.0493],173.5532283782959,[(163.65838;[1.];[0.05];15716.45329;1;1;[0.9993];[0.0493];15972.19223;100)]
2,1,13883.67512373633,0.99823,1,1,[1.],[0.05],263.99993896484375,[(253.74484;[1.];[0.05];14172.06084;1;1;[1.];[0.05];13883.67512;100)]
2,6,13486.189258918874,0.96965,1,1,[1.],[0.05],222.9146957397461,[(212.79645;[1.];[0.05];13411.24230;1;1;[1.];[0.05];13486.18926;100)]
0,4,18213.73955181916,0.99337,1,1,[1.],[0.05],296.7183589935303,[(284.06739;[1.];[0.05];17647.46256;1;1;[1.];[0.05];18213.73955;100)]
0,6,17833.81934403228,0.97265,1,1,[1.],[0.05],201.27511024475098,[(189.26883;[1.];[0.05];17686.00061;1;1;[1.];[0.05];17833.81934;100)]
2,3,13896.260481816304,0.99914,1,1,[0.9977],[0.0477],292.86789894104004,[(286.37433;[1.];[0.05];13623.01835;1;1;[0.9977];[0.0477];13896.26048;100)]
0,7,18298.29349698812,0.99798,1,1,[1.],[0.05],366.3787841796875,[(360.34942;[1.];[0.05];18284.68733;1;1;[1.];[0.05];18298.29350;100)]
1,4,15862.273988243982,0.99148,1,1,[1.],[0.05],289.78419303894043,[(273.97704;[1.];[0.05];15363.38545;1;1;[1.];[0.05];15862.27399;100)]
2,7,13901.21659133537,0.99949,1,1,[0.9778],[0.0278],515.5351161956787,[(499.26519;[0.98];[0.03];13924.15040;1;1;[0.9778];[0.0278];13901.21659;100)]
0,1,18328.876152156874,0.99965,1,1,[1.],[0.05],238.21449279785156,[(226.41373;[1.];[0.05];18661.83346;1;1;[1.];[0.05];18328.87615;100)]
1,5,15624.157446783849,0.9766,1,1,[1.],[0.05],388.0636692047119,[(375.94199;[1.];[0.05];15898.72874;1;1;[1.];[0.05];15624.15745;100)]
1,7,15981.088610404311,0.99891,1,1,[0.9932],[0.0432],219.11048889160156,[(208.14657;[0.99];[0.04];15983.92298;1;1;[0.9932];[0.0432];15981.08861;100)]
0,3,18247.032308011978,0.99519,1,1,[1.],[0.05],749.0439414978027,[(739.25948;[1.];[0.05];18021.62079;1;1;[1.];[0.05];18247.03231;100)]
2,5,13617.707022932289,0.97911,1,1,[1.],[0.05],828.209638595581,[(822.45874;[1.];[0.05];13817.88037;1;1;[1.];[0.05];13617.70702;100)]
0,5,17939.368321919592,0.97841,1,1,[1.],[0.05],591.9661521911621,[(586.44056;[1.];[0.05];18195.63156;1;1;[1.];[0.05];17939.36832;100)]
1,6,15505.455823241471,0.96918,1,1,[1.],[0.05],848.6518859863281,[(843.42575;[1.];[0.05];15444.14513;1;1;[1.];[0.05];15505.45582;100)]
