Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,7,49052.11477221556,0.94891,1,1,[0.9989],[0.0489],3440.9682750701904,[(3322.79897;[1.];[0.05];40226.98324;1;1;[0.9989];[0.0489];49052.11477;10)]
1,1,28855.31855536494,0.86475,1,1,[0.9975],[0.0475],3866.974115371704,[(3740.07082;[1.];[0.05];28051.80080;1;1;[0.9975];[0.0475];28855.31856;10)]
0,6,40283.793697570945,0.77929,1,1,[0.9675],[0.0175],4079.5555114746094,[(3951.33710;[1.];[0.05];60855.86271;1;1;[0.9675];[0.0175];40283.79370;10)]
0,8,46031.75103503665,0.89049,1,1,[0.9984],[0.0484],4065.2241706848145,[(3943.66384;[1.];[0.05];54601.11692;1;1;[0.9984];[0.0484];46031.75104;10)]
0,1,48893.86878609465,0.94585,1,1,[0.999],[0.049],3895.4174518585205,[(3645.52689;[1.];[0.05];44982.08531;1;1;[0.999];[0.049];48893.86879;10)]
0,2,43093.336698648076,0.83364,1,1,[0.9935],[0.0435],4283.6549282073975,[(4165.00378;[1.];[0.05];56195.76021;1;1;[0.9935];[0.0435];43093.33670;10)]
0,4,42964.50142863101,0.83115,1,1,[0.9911],[0.0411],4072.7572441101074,[(3952.26216;[1.];[0.05];53325.84730;1;1;[0.9911];[0.0411];42964.50143;10)]
0,10,39350.09410306986,0.76123,1,0,[0.59],[-0.36],4242.549180984497,[(4042.24372;[1.];[0.05];126470.77789;1;0;[0.59];[-0.36];39350.09410;10)]
1,4,25439.348102755248,0.76238,1,1,[0.9777],[0.0277],4891.057729721069,[(4772.91322;[1.];[0.05];35908.56869;1;1;[0.9777];[0.0277];25439.34810;10)]
1,5,25041.823163890127,0.75046,1,1,[0.9971],[0.0471],6079.076290130615,[(5932.65748;[1.];[0.05];29449.08267;1;1;[0.9971];[0.0471];25041.82316;10)]
0,5,37687.65019848816,0.72907,1,1,[0.9983],[0.0483],7093.993186950684,[(6977.02074;[1.];[0.05];44184.69001;1;1;[0.9983];[0.0483];37687.65020;10)]
1,7,28623.70231021141,0.85781,1,1,[0.9966],[0.0466],3375.467300415039,[(3259.22585;[1.];[0.05];25696.15545;1;1;[0.9966];[0.0466];28623.70231;10)]
1,8,27903.30463625825,0.83622,1,1,[0.9879],[0.0379],3645.900011062622,[(3529.08587;[1.];[0.05];36210.49313;1;1;[0.9879];[0.0379];27903.30464;10)]
2,1,16878.037285796257,0.7726,1,1,[0.9759],[0.0259],3041.842222213745,[(2842.60511;[1.];[0.05];17958.94539;1;1;[0.9759];[0.0259];16878.03729;10)]
1,10,27987.859206899153,0.83875,1,0,[0.608],[-0.342],4084.402561187744,[(3967.09609;[1.];[0.05];85158.98405;1;0;[0.608];[-0.342];27987.85921;10)]
2,5,16623.890685682833,0.76097,1,1,[0.9952],[0.0452],3468.2915210723877,[(3350.49415;[1.];[0.05];19723.06194;1;1;[0.9952];[0.0452];16623.89069;10)]
2,7,17224.008917568903,0.78844,1,1,[0.9923],[0.0423],3332.4217796325684,[(3196.29121;[1.];[0.05];16568.39541;1;1;[0.9923];[0.0423];17224.00892;10)]
2,10,18001.544120809718,0.82403,1,0,[0.5464],[-0.4036],3967.714309692383,[(3849.47944;[1.];[0.05];55571.53396;1;0;[0.5464];[-0.4036];18001.54412;10)]
