Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,5,-8.550022032300022e+27,[0.4969],[-0.4531],691056.122303009,"[(44039.78181;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50),(379596.28224;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50),(536188.21096;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50)]"
0,3,1.3303229829569577e+27,[0.4975],[-0.4525],695223.2489585876,"[(45426.56612;[0.6];[-0.35];824985522282656019517202759680.00000;[0.4975];[-0.4525];1330322982956957657882165248.00000;50),(377270.98179;[0.6];[-0.35];824985522282656019517202759680.00000;[0.4975];[-0.4525];1330322982956957657882165248.00000;50),(537138.11660;[0.6];[-0.35];824985522282656019517202759680.00000;[0.4975];[-0.4525];1330322982956957657882165248.00000;50)]"
0,6,-9.34221486831086e+27,[0.4944],[-0.4556],695480.1075458527,"[(46210.15334;[0.58];[-0.37];435051263703222584628513603584.00000;[0.4944];[-0.4556];-9342214868310860365983383552.00000;50),(377441.53500;[0.58];[-0.37];435051263703222584628513603584.00000;[0.4944];[-0.4556];-9342214868310860365983383552.00000;50),(537369.72761;[0.58];[-0.37];435051263703222584628513603584.00000;[0.4944];[-0.4556];-9342214868310860365983383552.00000;50)]"
0,1,-9.146793986991932e+27,[0.4935],[-0.4565],696341.269493103,"[(44561.37943;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50),(381467.89575;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50),(538307.62625;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50)]"
0,4,-7.671649545090302e+27,[0.4966],[-0.4534],699517.9324150085,"[(45254.47750;[0.6];[-0.35];597311485909874553199037251584.00000;[0.4966];[-0.4534];-7671649545090302219596595200.00000;50),(379653.92208;[0.6];[-0.35];597311485909874553199037251584.00000;[0.4966];[-0.4534];-7671649545090302219596595200.00000;50),(540555.03392;[0.6];[-0.35];597311485909874553199037251584.00000;[0.4966];[-0.4534];-7671649545090302219596595200.00000;50)]"
1,5,-8.550022032300022e+27,[0.4969],[-0.4531],700683.031797409,"[(44020.46967;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50),(379089.73765;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50),(539813.50899;[0.6];[-0.35];558391102150957351588818059264.00000;[0.4969];[-0.4531];-8550022032300021653935489024.00000;50)]"
0,2,-2.646774902513582e+26,[0.5013],[-0.4487],704019.692659378,"[(44996.93608;[0.54];[-0.41];319382955844622358848596869120.00000;[0.5013];[-0.4487];-264677490251358210051014656.00000;50),(380949.35942;[0.54];[-0.41];319382955844622358848596869120.00000;[0.5013];[-0.4487];-264677490251358210051014656.00000;50),(543661.76176;[0.54];[-0.41];319382955844622358848596869120.00000;[0.5013];[-0.4487];-264677490251358210051014656.00000;50)]"
0,8,-2.6215533005470094e+28,[0.4936],[-0.4564],705024.2874622345,"[(42848.20104;[0.66];[-0.29];615004784720514943865136873472.00000;[0.4936];[-0.4564];-26215533005470093737333882880.00000;50),(383987.27822;[0.66];[-0.29];615004784720514943865136873472.00000;[0.4936];[-0.4564];-26215533005470093737333882880.00000;50),(545530.33423;[0.66];[-0.29];615004784720514943865136873472.00000;[0.4936];[-0.4564];-26215533005470093737333882880.00000;50)]"
0,10,1.0157101182590738e+28,[0.5012],[-0.4488],707210.7746601105,"[(51410.94804;[0.52];[-0.43];585122415428743555129377030144.00000;[0.5012];[-0.4488];10157101182590738019720888320.00000;50),(389150.94566;[0.52];[-0.43];585122415428743555129377030144.00000;[0.5012];[-0.4488];10157101182590738019720888320.00000;50),(547932.53684;[0.52];[-0.43];585122415428743555129377030144.00000;[0.5012];[-0.4488];10157101182590738019720888320.00000;50)]"
1,1,-9.146793986991932e+27,[0.4935],[-0.4565],708296.8854904175,"[(44763.43942;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50),(387580.24573;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50),(549014.46581;[0.56];[-0.39];483371258846103558157296992256.00000;[0.4935];[-0.4565];-9146793986991931513257328640.00000;50)]"
