Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,5,-1.887771480181128e+27,[0.4975],[-0.4525],716843.9300060272,[(59785.16603;[0.52];[-0.43];212129223803658920751813099520.00000;[0.4975];[-0.4525];-1887771480181127923072237568.00000;100)]
0,4,-2.739849521736749e+27,[0.502],[-0.448],717733.9065074921,[(59183.95090;[0.62];[-0.33];399242020613039926338090172416.00000;[0.502];[-0.448];-2739849521736748895045681152.00000;100)]
1,4,-2.739849521736749e+27,[0.502],[-0.448],717865.2973175049,[(59502.78664;[0.62];[-0.33];399242020613039926338090172416.00000;[0.502];[-0.448];-2739849521736748895045681152.00000;100)]
1,3,6.867819725309274e+25,[0.4975],[-0.4525],718574.7022628784,[(59542.51623;[0.58];[-0.37];749063681350230196325040783360.00000;[0.4975];[-0.4525];68678197253092741096669184.00000;100)]
0,8,3.9924157947610224e+26,[0.5024],[-0.4476],718856.6372394562,[(58997.48039;[0.62];[-0.33];638463596142171803220799651840.00000;[0.5024];[-0.4476];399241579476102243913039872.00000;100)]
0,9,-3.6661287006082305e+27,[0.4998],[-0.4502],719929.0869235992,[(58781.83866;[0.59];[-0.36];234918021972991417375975800832.00000;[0.4998];[-0.4502];-3666128700608230485412282368.00000;100)]
0,2,-2.5601592811210666e+28,[0.4916],[-0.4584],723321.0470676422,[(61349.43080;[0.54];[-0.41];299117735471553908253980098560.00000;[0.4916];[-0.4584];-25601592811210665844893810688.00000;100)]
1,2,-2.5601592811210666e+28,[0.4916],[-0.4584],723575.4573345184,[(58306.06771;[0.54];[-0.41];299117735471553908253980098560.00000;[0.4916];[-0.4584];-25601592811210665844893810688.00000;100)]
0,10,1.1680550789035611e+27,[0.5016],[-0.4484],726322.4556446075,[(61041.26954;[0.52];[-0.43];324783307899059368045028835328.00000;[0.5016];[-0.4484];1168055078903561139137806336.00000;100)]
0,1,-2.364835474167449e+28,[0.4919],[-0.4581],733462.5105857849,[(58334.12743;[0.54];[-0.41];519267619748086701234969378816.00000;[0.4919];[-0.4581];-23648354741674488150676733952.00000;100)]
0,6,-9.427928312916034e+26,[0.4951],[-0.4549],734845.157623291,[(58662.74834;[0.55];[-0.4];283202727900563438852938661888.00000;[0.4951];[-0.4549];-942792831291603422097178624.00000;100)]
0,7,-6.780699304568292e+27,[0.4947],[-0.4553],736819.669008255,[(58492.50221;[0.65];[-0.3];681499544262645750272679215104.00000;[0.4947];[-0.4553];-6780699304568292404694614016.00000;100)]
0,3,6.867819725309274e+25,[0.4975],[-0.4525],737497.7977275848,[(59344.88916;[0.58];[-0.37];749063681350230196325040783360.00000;[0.4975];[-0.4525];68678197253092741096669184.00000;100)]
1,1,-2.364835474167449e+28,[0.4919],[-0.4581],742746.8190193176,[(58933.29406;[0.54];[-0.41];519267619748086701234969378816.00000;[0.4919];[-0.4581];-23648354741674488150676733952.00000;100)]
0,5,-1.887771480181128e+27,[0.4975],[-0.4525],744129.4550895691,[(58738.75690;[0.52];[-0.43];212129223803658920751813099520.00000;[0.4975];[-0.4525];-1887771480181127923072237568.00000;100)]
1,6,-9.427928312916034e+26,[0.4951],[-0.4549],705470.9780216217,[(56675.57406;[0.55];[-0.4];283202727900563438852938661888.00000;[0.4951];[-0.4549];-942792831291603422097178624.00000;100)]
2,1,-2.364835474167449e+28,[0.4919],[-0.4581],714683.4070682526,[(57336.63607;[0.54];[-0.41];519267619748086701234969378816.00000;[0.4919];[-0.4581];-23648354741674488150676733952.00000;100)]
1,9,-3.6661287006082305e+27,[0.4998],[-0.4502],721017.7278518677,[(57421.69428;[0.59];[-0.36];234918021972991417375975800832.00000;[0.4998];[-0.4502];-3666128700608230485412282368.00000;100)]
2,2,-2.5601592811210666e+28,[0.4916],[-0.4584],721527.5235176086,[(57551.35083;[0.54];[-0.41];299117735471553908253980098560.00000;[0.4916];[-0.4584];-25601592811210665844893810688.00000;100)]
2,4,-2.739849521736749e+27,[0.502],[-0.448],719058.2151412964,[(57799.39055;[0.62];[-0.33];399242020613039926338090172416.00000;[0.502];[-0.448];-2739849521736748895045681152.00000;100)]
1,8,3.9924157947610224e+26,[0.5024],[-0.4476],730046.4401245117,[(57601.31907;[0.62];[-0.33];638463596142171803220799651840.00000;[0.5024];[-0.4476];399241579476102243913039872.00000;100)]
1,10,1.1680550789035611e+27,[0.5016],[-0.4484],733484.081029892,[(57398.65112;[0.52];[-0.43];324783307899059368045028835328.00000;[0.5016];[-0.4484];1168055078903561139137806336.00000;100)]
2,7,-6.780699304568292e+27,[0.4947],[-0.4553],718545.0446605682,[(57283.61726;[0.65];[-0.3];681499544262645750272679215104.00000;[0.4947];[-0.4553];-6780699304568292404694614016.00000;100)]
2,10,1.1680550789035611e+27,[0.5016],[-0.4484],713111.8104457855,[(59076.43604;[0.52];[-0.43];324783307899059368045028835328.00000;[0.5016];[-0.4484];1168055078903561139137806336.00000;100)]
2,5,-1.887771480181128e+27,[0.4975],[-0.4525],726069.3712234497,[(57608.86931;[0.52];[-0.43];212129223803658920751813099520.00000;[0.4975];[-0.4525];-1887771480181127923072237568.00000;100)]
2,3,6.867819725309274e+25,[0.4975],[-0.4525],736863.8029098511,[(56611.08565;[0.58];[-0.37];749063681350230196325040783360.00000;[0.4975];[-0.4525];68678197253092741096669184.00000;100)]
2,6,-9.427928312916034e+26,[0.4951],[-0.4549],728528.4900665283,[(60249.79901;[0.55];[-0.4];283202727900563438852938661888.00000;[0.4951];[-0.4549];-942792831291603422097178624.00000;100)]
2,8,3.9924157947610224e+26,[0.5024],[-0.4476],727289.8871898651,[(61995.64743;[0.62];[-0.33];638463596142171803220799651840.00000;[0.5024];[-0.4476];399241579476102243913039872.00000;100)]
2,9,-3.6661287006082305e+27,[0.4998],[-0.4502],721951.8325328827,[(60267.07435;[0.59];[-0.36];234918021972991417375975800832.00000;[0.4998];[-0.4502];-3666128700608230485412282368.00000;100)]
1,7,-6.780699304568292e+27,[0.4947],[-0.4553],747099.1616249084,[(57414.43706;[0.65];[-0.3];681499544262645750272679215104.00000;[0.4947];[-0.4553];-6780699304568292404694614016.00000;100)]
3,2,-2.5601592811210666e+28,[0.4916],[-0.4584],708993.5824871063,[(56751.59025;[0.54];[-0.41];299117735471553908253980098560.00000;[0.4916];[-0.4584];-25601592811210665844893810688.00000;100)]
3,1,-2.3648354741670517e+28,[0.4919],[-0.4581],733156.6712856293,[(57353.75094;[0.54];[-0.41];519267619748086701234969378816.00000;[0.4919];[-0.4581];-23648354741670516714677207040.00000;100)]
3,6,-9.427928312916034e+26,[0.4951],[-0.4549],718248.7273216248,[(57146.13581;[0.55];[-0.4];283202727900563438852938661888.00000;[0.4951];[-0.4549];-942792831291603422097178624.00000;100)]
3,9,-3.666128700438877e+27,[0.4998],[-0.4502],711361.795425415,[(57323.79246;[0.59];[-0.36];234918021972991382191603712000.00000;[0.4998];[-0.4502];-3666128700438877107432456192.00000;100)]
3,8,3.9924157947610224e+26,[0.5024],[-0.4476],714451.6575336456,[(56327.85106;[0.62];[-0.33];638463596142171803220799651840.00000;[0.5024];[-0.4476];399241579476102243913039872.00000;100)]
3,4,-2.739849521736749e+27,[0.502],[-0.448],726800.2896308899,[(60104.60973;[0.62];[-0.33];399242020613039926338090172416.00000;[0.502];[-0.448];-2739849521736748895045681152.00000;100)]
3,5,-1.887771480181128e+27,[0.4975],[-0.4525],733945.1060295105,[(57265.36703;[0.52];[-0.43];212129223803658920751813099520.00000;[0.4975];[-0.4525];-1887771480181127923072237568.00000;100)]
3,3,6.867819725309274e+25,[0.4975],[-0.4525],741147.2408771515,[(57999.22585;[0.58];[-0.37];749063681350230196325040783360.00000;[0.4975];[-0.4525];68678197253092741096669184.00000;100)]
3,10,1.1680550789035611e+27,[0.5016],[-0.4484],723551.4802932739,[(58830.78456;[0.52];[-0.43];324783307899059368045028835328.00000;[0.5016];[-0.4484];1168055078903561139137806336.00000;100)]
4,2,-2.5601592811210666e+28,[0.4916],[-0.4584],725472.9130268097,[(61927.90866;[0.54];[-0.41];299117735471553908253980098560.00000;[0.4916];[-0.4584];-25601592811210665844893810688.00000;100)]
4,3,6.867819712251034e+25,[0.4975],[-0.4525],725975.7781028748,[(58643.05210;[0.58];[-0.37];749063681350230055587552428032.00000;[0.4975];[-0.4525];68678197122510342135480320.00000;100)]
4,5,-1.887771480181128e+27,[0.4975],[-0.4525],725237.9109859467,[(60333.68921;[0.52];[-0.43];212129223803658920751813099520.00000;[0.4975];[-0.4525];-1887771480181127923072237568.00000;100)]
4,1,-2.3648354741707592e+28,[0.4919],[-0.4581],736375.1037120819,[(67002.29263;[0.54];[-0.41];519267619748086279022504312832.00000;[0.4919];[-0.4581];-23648354741707592246765813760.00000;100)]
3,7,-6.780699304568292e+27,[0.4947],[-0.4553],748557.6784610748,[(57422.85371;[0.65];[-0.3];681499544262645750272679215104.00000;[0.4947];[-0.4553];-6780699304568292404694614016.00000;100)]
4,4,-2.739849521736749e+27,[0.502],[-0.448],760176.4962673187,[(58007.10177;[0.62];[-0.33];399242020613039926338090172416.00000;[0.502];[-0.448];-2739849521736748895045681152.00000;100)]
4,6,-9.42792832430913e+26,[0.4951],[-0.4549],719821.4526176453,[(57706.08354;[0.55];[-0.4];283202727899958021362406129664.00000;[0.4951];[-0.4549];-942792832430912972752158720.00000;100)]
