hardness,objective,feas,runtime
0,17607.05728027254,1.0,43479.225158691406
1,15633.993560459925,0.9759,123383.28671455383
2,13389.857481354165,1.0,167926.72753334045
3,10054.507976541921,0.9415,477727.89764404297
4,9788.290775702037,0.7711,554973.3662605286
5,8529.488234293201,0.6058,542265.0701999664
6,7508.5870212808895,0.386,581990.8626079559
7,7204.602545768446,0.2678,600825.231552124
8,6656.355669452538,0.2109,600637.847661972
