hardness,objective,feas,runtime
0,18334.44090422365,1.0,619390.1240825653
1,15895.93332536797,0.9991,615987.8249168396
2,13745.083882037796,0.9926,608169.9140071869
3,12023.958407302567,0.8687,611238.9702796936
4,10610.990362318258,0.6367,611042.6337718964
5,9340.658449914281,0.509,622127.2904872894
6,8214.562695061193,0.3812,611142.5225734711
7,7161.912909258652,0.2795,621196.9480514526
8,6627.504430188801,0.222,608323.4734535217
Hardness,Objective,feas,surplus,RuntimeRS,solutions
2,13745.083882037796,[0.9926],[0.0426],140561.15818023682,"[(3236.68242;[0.858];[-0.092];13589.72518;[0.8544];[-0.0956];13672.96660),(5181.86140;[0.858];[-0.092];13589.72518;[0.8544];[-0.0956];13672.96660),(7280.68542;[0.827];[-0.123];13577.41709;[0.8256];[-0.1244];13665.13315),(10302.51479;[0.8043];[-0.1457];13551.76225;[0.8008];[-0.1492];13642.75177),(15562.36696;[0.8225];[-0.1275];13584.14376;[0.8213];[-0.1287];13671.83598),(25090.84654;[0.9262];[-0.0238];13643.85184;[0.9224];[-0.0276];13737.55862),(43259.55105;[0.9668];[0.0168];13654.59752;[0.9644];[0.0144];13745.19811),(80616.20355;[0.9933];[0.0433];13654.94569;[0.9926];[0.0426];13745.08388),(139632.49683;[0.9933];[0.0433];13654.94569;[0.9926];[0.0426];13745.08388)]"
