Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,1,17884.72982786803,[0.9367],[-0.0133],95.78251838684082,[(92.28802;[1.];[0.05];20997.26328;[0.9367];[-0.0133];17884.72983;10)]
1,1,15536.816926465975,[0.9026],[-0.0474],105.14307022094727,[(101.76015;[1.];[0.05];18201.26196;[0.9026];[-0.0474];15536.81693;10)]
0,8,17299.733936549026,[1.],[0.05],164.42561149597168,[(160.95519;[1.];[0.05];17931.50788;[1.];[0.05];17299.73394;10)]
0,7,17551.69575172564,[0.9536],[0.0036],141.02506637573242,[(137.68148;[1.];[0.05];17871.67367;[0.9536];[0.0036];17551.69575;10)]
0,4,17189.204325409853,[1.],[0.05],165.63177108764648,[(162.25004;[1.];[0.05];17594.05886;[1.];[0.05];17189.20433;10)]
0,6,17919.058874128954,[0.9391],[-0.0109],142.9276466369629,[(139.60266;[1.];[0.05];19129.39145;[0.9391];[-0.0109];17919.05887;10)]
1,4,14907.702480413096,[1.],[0.05],110.14795303344727,[(106.71091;[1.];[0.05];15205.63474;[1.];[0.05];14907.70248;10)]
1,5,13567.59894124345,[0.922],[-0.028],99.33590888977051,[(95.92032;[1.];[0.05];16150.12111;[0.922];[-0.028];13567.59894;10)]
0,10,17489.84131138749,[0.8487],[-0.1013],323.87709617614746,[(320.39285;[1.];[0.05];33434.42342;[0.8487];[-0.1013];17489.84131;10)]
0,2,17798.935607828545,[0.9516],[0.0016],325.49023628234863,[(322.09849;[1.];[0.05];19995.36962;[0.9516];[0.0016];17798.93561;10)]
0,5,15697.12433652682,[0.9572],[0.0072],141.89410209655762,[(136.48129;[1.];[0.05];18818.04666;[0.9572];[0.0072];15697.12434;10)]
1,2,15397.88652792922,[0.9244],[-0.0256],437.70837783813477,[(434.28278;[1.];[0.05];17465.36717;[0.9244];[-0.0256];15397.88653;10)]
1,7,15136.441882607443,[0.9314],[-0.0186],74.53513145446777,[(71.06256;[1.];[0.05];15445.66331;[0.9314];[-0.0186];15136.44188;10)]
1,8,15190.55919896175,[1.],[0.05],57.72566795349121,[(54.56805;[1.];[0.05];15484.44019;[1.];[0.05];15190.55920;10)]
1,10,15042.509012881812,[0.7811],[-0.1689],261.4290714263916,[(258.13413;[1.];[0.05];29775.84385;[0.7811];[-0.1689];15042.50901;10)]
2,1,13378.610394124198,[0.8443],[-0.1057],67.65460968017578,[(59.86214;[1.];[0.05];15694.24592;[0.8443];[-0.1057];13378.61039;10)]
2,7,13030.195390347046,[0.8905],[-0.0595],72.1580982208252,[(64.34464;[1.];[0.05];13292.59130;[0.8905];[-0.0595];13030.19539;10)]
2,5,11697.515273192224,[0.8791],[-0.0709],68.76277923583984,[(64.23283;[1.];[0.05];13805.71328;[0.8791];[-0.0709];11697.51527;10)]
2,4,13054.473705127883,[0.9998],[0.0498],144.54913139343262,[(140.58542;[1.];[0.05];13089.75746;[0.9998];[0.0498];13054.47371;10)]
2,8,12870.030752451965,[1.],[0.05],549.8266220092773,[(546.19431;[1.];[0.05];13281.13814;[1.];[0.05];12870.03075;10)]
2,10,13016.883344399237,[0.7059],[-0.2441],254.76813316345215,[(250.85211;[1.];[0.05];26542.05565;[0.7059];[-0.2441];13016.88334;10)]
3,4,11394.875985520042,[0.9985],[0.0485],105.92818260192871,[(102.86331;[1.];[0.05];11423.79316;[0.9985];[0.0485];11394.87599;10)]
3,5,10383.258708667492,[0.8459],[-0.1041],127.5026798248291,[(121.26756;[1.];[0.05];11949.90381;[0.8459];[-0.1041];10383.25871;10)]
3,7,11486.166325637303,[0.8222],[-0.1278],113.12508583068848,[(108.86168;[1.];[0.05];11592.70303;[0.8222];[-0.1278];11486.16633;10)]
3,8,11412.532746232866,[1.],[0.05],494.3673610687256,[(482.65529;[1.];[0.05];11551.25351;[1.];[0.05];11412.53275;10)]
3,10,11308.23118006844,[0.6123],[-0.3377],176.37014389038086,[(167.46497;[1.];[0.05];23866.60833;[0.6123];[-0.3377];11308.23118;10)]
