hardness,objective,feas,runtime
0,18165.8449077715,0.9445,172.1186637878418
1,15794.391192837762,0.9123,113.53111267089844
2,12992.415247933113,0.9148,14545.002937316895
3,10862.98285834875,0.9938,12964.56265449524
4,10610.990362318258,0.6278,709.5234394073486
5,9340.658449914281,0.5007,494.5557117462158
6,8248.231784363512,0.3627,348.80709648132324
7,7175.272934901284,0.2529,768.1679725646973
8,6620.373616873652,0.1915,355.6785583496094
hardness,objective,feas,runtime
0,18165.8449077715,0.9445,167.43946075439453
1,15794.391192837762,0.9123,113.49320411682129
