hardness,objective,feas,runtime
0,820500.5619303057,0.9501,284377.4034976959
1,832510.32493276,0.9464,348681.9221973419
2,835950.0170391985,0.9492,424780.0612449646
3,749036.8454879206,0.9762,400091.0429954529
4,429112.0135778329,0.5752,474255.3036212921
5,274993770040161.5,0.4717,461913.2091999054
6,274999022853876.25,0.4646,425406.4748287201
7,-93923739.23628372,0.1419,280611.90032958984
8,0,0.0,5132.951498031616
