hardness,objective,feas,runtime
0,18335.26550767601,1.0,4127.310037612915
1,15895.93332536797,0.9991,3711.1780643463135
2,13745.19811275842,0.9644,4004.1403770446777
3,12024.296752317892,0.8626,3827.8582096099854
4,10629.910737855756,0.612,4185.338735580444
5,9388.75701741781,0.4785,3883.2156658172607
6,8266.940445998207,0.3624,3735.3057861328125
7,7208.158586898757,0.2583,3876.708745956421
8,6662.1593942854815,0.1999,4042.292833328247
