Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,6,17833.81934403228,[1.],[0.05],174.6969223022461,[(170.04490;[1.];[0.05];17686.00061;[1.];[0.05];17833.81934;100)]
0,8,18161.03189376399,[0.9131],[-0.0369],179.95548248291016,[(175.58241;[0.97];[0.02];19459.56086;[0.9131];[-0.0369];18161.03189;100)]
1,3,15857.808919121531,[1.],[0.05],231.55856132507324,[(226.99642;[1.];[0.05];15612.49440;[1.];[0.05];15857.80892;100)]
1,4,15761.598384054523,[1.],[0.05],347.2754955291748,[(342.95774;[1.];[0.05];15263.34438;[1.];[0.05];15761.59838;100)]
0,7,18298.29349698812,[1.],[0.05],213.5472297668457,[(209.14102;[1.];[0.05];18284.68733;[1.];[0.05];18298.29350;100)]
0,4,18213.73955181916,[1.],[0.05],272.5257873535156,[(267.89927;[1.];[0.05];17647.46256;[1.];[0.05];18213.73955;100)]
0,1,18328.876152156874,[1.],[0.05],162.81485557556152,[(158.56290;[1.];[0.05];18661.83346;[1.];[0.05];18328.87615;100)]
0,9,18083.889285827914,[0.8968],[-0.0532],145.9193229675293,[(141.41345;[0.95];[0.];19136.21715;[0.8968];[-0.0532];18083.88929;100)]
1,5,15528.496497143946,[1.],[0.05],348.0503559112549,[(343.47010;[1.];[0.05];15795.01940;[1.];[0.05];15528.49650;100)]
1,1,15874.155095915541,[1.],[0.05],239.1965389251709,[(231.73261;[1.];[0.05];16183.98375;[1.];[0.05];15874.15510;100)]
0,5,17939.368321919592,[1.],[0.05],537.6455783843994,[(533.00643;[1.];[0.05];18195.63156;[1.];[0.05];17939.36832;100)]
0,3,18247.032308011978,[1.],[0.05],686.0604286193848,[(681.69689;[1.];[0.05];18021.62079;[1.];[0.05];18247.03231;100)]
1,6,15417.066292941434,[1.],[0.05],106.48751258850098,[(102.03052;[1.];[0.05];15349.53209;[1.];[0.05];15417.06629;100)]
2,3,13710.591072692563,[0.9886],[0.0386],111.98306083679199,[(107.74994;[0.99];[0.04];13458.76354;[0.9886];[0.0386];13710.59107;100)]
1,7,15858.806491318888,[0.9755],[0.0255],230.4072380065918,[(226.19629;[0.99];[0.04];15877.32196;[0.9755];[0.0255];15858.80649;100)]
2,1,13738.13434395335,[0.9998],[0.0498],181.64753913879395,[(177.17743;[1.];[0.05];13995.95232;[0.9998];[0.0498];13738.13434;100)]
2,4,13602.219706889839,[1.],[0.05],206.49147033691406,[(202.17276;[1.];[0.05];13151.99834;[1.];[0.05];13602.21971;100)]
2,6,13346.841324130133,[1.],[0.05],180.85694313049316,[(176.45741;[1.];[0.05];13244.64005;[1.];[0.05];13346.84132;100)]
2,5,13452.434397276522,[1.],[0.05],150.8772373199463,[(146.48318;[1.];[0.05];13652.63505;[1.];[0.05];13452.43440;100)]
2,7,13712.250115134466,[0.9459],[-0.0041],143.67365837097168,[(136.57212;[0.97];[0.02];13757.00501;[0.9459];[-0.0041];13712.25012;100)]
3,4,11872.610710059304,[1.],[0.05],93.30272674560547,[(89.02788;[1.];[0.05];11479.49491;[1.];[0.05];11872.61071;100)]
3,5,11916.30762765793,[1.],[0.05],216.0491943359375,[(211.56001;[1.];[0.05];11965.49797;[1.];[0.05];11916.30763;100)]
3,6,11616.990283758061,[1.],[0.05],487.8263473510742,[(483.63805;[1.];[0.05];11540.06975;[1.];[0.05];11616.99028;100)]
