Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,4,18213.73955181916,[1.],[0.05],264.0211582183838,[(259.67693;[1.];[0.05];17647.46256;[1.];[0.05];18213.73955;100)]
0,9,18083.889285827914,[0.8968],[-0.0532],163.8314723968506,[(159.46126;[0.95];[0.];19136.21715;[0.8968];[-0.0532];18083.88929;100)]
0,8,18161.03189376399,[0.9131],[-0.0369],209.15818214416504,[(204.75054;[0.97];[0.02];19459.56086;[0.9131];[-0.0369];18161.03189;100)]
0,1,18328.876152156874,[1.],[0.05],148.19955825805664,[(143.85533;[1.];[0.05];18661.83346;[1.];[0.05];18328.87615;100)]
0,6,17833.81934403228,[1.],[0.05],128.30686569213867,[(123.79694;[1.];[0.05];17686.00061;[1.];[0.05];17833.81934;100)]
1,1,15874.155095915541,[1.],[0.05],228.44934463500977,[(223.92464;[1.];[0.05];16183.98375;[1.];[0.05];15874.15510;100)]
0,7,18298.29349698812,[1.],[0.05],212.10122108459473,[(207.09896;[1.];[0.05];18284.68733;[1.];[0.05];18298.29350;100)]
1,4,15761.598384054523,[1.],[0.05],219.74658966064453,[(215.46745;[1.];[0.05];15263.34438;[1.];[0.05];15761.59838;100)]
1,3,15857.808919121531,[1.],[0.05],268.20874214172363,[(263.88288;[1.];[0.05];15612.49440;[1.];[0.05];15857.80892;100)]
0,5,17939.368321919592,[1.],[0.05],498.49581718444824,[(494.11297;[1.];[0.05];18195.63156;[1.];[0.05];17939.36832;100)]
1,5,15528.496497143946,[1.],[0.05],275.7246494293213,[(271.30651;[1.];[0.05];15795.01940;[1.];[0.05];15528.49650;100)]
0,3,18247.032308011978,[1.],[0.05],682.732105255127,[(677.89960;[1.];[0.05];18021.62079;[1.];[0.05];18247.03231;100)]
1,7,15858.806491318888,[0.9755],[0.0255],241.16826057434082,[(236.97114;[0.99];[0.04];15877.32196;[0.9755];[0.0255];15858.80649;100)]
2,1,13738.13434395335,[0.9998],[0.0498],208.78314971923828,[(204.48661;[1.];[0.05];13995.95232;[0.9998];[0.0498];13738.13434;100)]
1,6,15417.066292941434,[1.],[0.05],112.45465278625488,[(108.18267;[1.];[0.05];15349.53209;[1.];[0.05];15417.06629;100)]
2,5,13452.434397276522,[1.],[0.05],196.70534133911133,[(192.47484;[1.];[0.05];13652.63505;[1.];[0.05];13452.43440;100)]
2,3,13710.591072692563,[0.9886],[0.0386],137.71581649780273,[(133.37851;[0.99];[0.04];13458.76354;[0.9886];[0.0386];13710.59107;100)]
2,4,13602.219706889839,[1.],[0.05],227.68306732177734,[(223.45257;[1.];[0.05];13151.99834;[1.];[0.05];13602.21971;100)]
2,6,13346.841324130133,[1.],[0.05],205.95955848693848,[(201.67851;[1.];[0.05];13244.64005;[1.];[0.05];13346.84132;100)]
2,7,13712.250115134466,[0.9459],[-0.0041],111.40036582946777,[(107.21612;[0.97];[0.02];13757.00501;[0.9459];[-0.0041];13712.25012;100)]
3,4,11872.610710059304,[1.],[0.05],105.78632354736328,[(100.37613;[1.];[0.05];11479.49491;[1.];[0.05];11872.61071;100)]
3,5,11916.30762765793,[1.],[0.05],117.95616149902344,[(113.81269;[1.];[0.05];11965.49797;[1.];[0.05];11916.30763;100)]
3,6,11616.990283758061,[1.],[0.05],306.01000785827637,[(301.62644;[1.];[0.05];11540.06975;[1.];[0.05];11616.99028;100)]
