hardness,objective,feas,runtime
-4,71169.5403201977,0.9045,24457.329034805298
-3,60888.19564363022,0.908,24179.42237854004
-2,49413.833053971146,0.9338,27696.528673171997
-1,35967.23660390368,0.9237,41317.88754463196
0,23904.897272809674,0.9114,28432.10792541504
1,16958.24450768445,0.9119,21818.09902191162
2,11768.699512250754,0.9236,46087.857723236084
3,7972.252174648375,0.9338,28910.68935394287
4,4460.424043466124,0.7678,615021.0435390472
5,4789.9591949343385,0.4131,631758.5370540619
6,4678.958559434666,0.2287,612498.7215995789
7,2483.0886901765743,0.018,612652.3020267487
8,1795.4578004323146,0.003,621389.9505138397
