hardness,objective,feas,runtime
0,18335.26550767601,1.0,4173.330783843994
1,15895.93332536797,0.9985,4115.250110626221
2,13745.19811275842,0.9562,4097.413063049316
3,12024.296752317892,0.8467,4125.957727432251
4,10629.910737855756,0.6012,4641.514778137207
5,9388.75701741781,0.4652,3958.817958831787
6,8266.940445998207,0.3517,4103.9323806762695
7,7208.158586898757,0.2489,3952.000617980957
8,6662.1593942854815,0.1934,4287.909507751465
