Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
3,9,13998.282961399864,0.92765,1,0,[0.4794],[-0.4706],744211.0958099365,"[(293586.66182;[0.3522];[-0.5978];11678.34784;1;0;[0.3564];[-0.5936];10967.67166;100),(313094.07592;[0.4115];[-0.5385];12468.98016;1;0;[0.4132];[-0.5368];12420.22943;200),(325547.84274;[0.4825];[-0.4675];16327.43972;1;0;[0.4794];[-0.4706];13998.28296;400)]"
4,1,10071.37679349951,0.98428,1,0,[0.3267],[-0.6233],612568.425655365,"[(311717.60178;[0.3247];[-0.6253];10327.67639;1;0;[0.3267];[-0.6233];10071.37679;100),(492899.81771;[0.3247];[-0.6253];10327.67639;1;0;[0.3267];[-0.6233];10071.37679;100)]"
3,10,13996.2712484821,0.92751,1,0,[0.4252],[-0.5248],740584.4824314117,"[(291514.62102;[0.4201];[-0.5299];17313.48641;1;0;[0.4146];[-0.5354];13135.73738;100),(311615.17763;[0.3552];[-0.5948];16977.10241;1;0;[0.3491];[-0.6009];12367.50118;200),(324943.22777;[0.4298];[-0.5202];18031.93790;1;0;[0.4252];[-0.5248];13996.27125;400)]"
4,3,9270.921496208273,0.90605,1,0,[0.3063],[-0.6437],625092.8390026093,"[(291432.78027;[0.3026];[-0.6474];9428.31272;1;0;[0.3055];[-0.6445];9265.12280;100),(475040.28058;[0.304];[-0.646];9430.21444;1;0;[0.3063];[-0.6437];9270.92150;100),(543317.99197;[0.304];[-0.646];9430.21444;1;0;[0.3063];[-0.6437];9270.92150;100)]"
4,2,9771.607038095503,0.95499,1,0,[0.3072],[-0.6428],727913.5887622833,"[(311538.26642;[0.2706];[-0.6794];12256.09547;1;0;[0.2679];[-0.6821];9114.02282;100),(332382.05171;[0.3141];[-0.6359];11619.44633;1;0;[0.3072];[-0.6428];9771.60704;200),(594134.40728;[0.3141];[-0.6359];11619.44633;1;0;[0.3072];[-0.6428];9771.60704;200)]"
4,4,8091.1253545304135,0.79075,1,0,[0.2668],[-0.6832],674112.8661632538,"[(292329.24342;[0.2676];[-0.6824];8960.76611;1;0;[0.2668];[-0.6832];8091.12535;100),(576586.87496;[0.2676];[-0.6824];8960.76611;1;0;[0.2668];[-0.6832];8091.12535;100)]"
4,5,8965.762552905922,0.87623,1,0,[0.3037],[-0.6463],693780.6050777435,"[(308947.99709;[0.2434];[-0.7066];7377.89683;1;0;[0.2493];[-0.7007];7234.00335;100),(320542.23371;[0.3022];[-0.6478];8943.93916;1;0;[0.3037];[-0.6463];8965.76255;200),(574275.53010;[0.3022];[-0.6478];8943.93916;1;0;[0.3037];[-0.6463];8965.76255;200)]"
4,6,8817.35206716274,0.86173,1,0,[0.3799],[-0.5701],658280.8830738068,"[(313204.69618;[0.3828];[-0.5672];8813.68021;1;0;[0.3799];[-0.5701];8817.35207;100),(481641.47234;[0.3824];[-0.5676];8817.60481;1;0;[0.3793];[-0.5707];8821.26777;100),(570542.36937;[0.3824];[-0.5676];8817.60481;1;0;[0.3793];[-0.5707];8821.26777;100)]"
4,8,9942.893020551477,0.97173,1,0,[0.3198],[-0.6302],614437.8173351288,"[(285475.22163;[0.329];[-0.621];10632.90525;1;0;[0.3198];[-0.6302];9942.89302;100),(470052.58107;[0.328];[-0.622];10625.16747;1;0;[0.3185];[-0.6315];9927.95456;100)]"
4,7,9352.249404702927,0.914,1,0,[0.3068],[-0.6432],833093.8835144043,"[(302729.20918;[0.0745];[-0.8755];3408.14465;1;0;[0.0745];[-0.8755];3408.14465;100),(329219.43045;[0.1855];[-0.7645];6884.05352;1;0;[0.1855];[-0.7645];6884.05352;200),(375252.70677;[0.2417];[-0.7083];8264.11660;1;0;[0.2417];[-0.7083];8264.11660;400),(398600.69942;[0.3068];[-0.6432];9352.24940;1;0;[0.3068];[-0.6432];9352.24940;800)]"
4,9,9495.327523664057,0.92799,1,0,[0.3218],[-0.6282],734736.822605133,"[(288651.54052;[0.1867];[-0.7633];7409.56062;1;0;[0.192];[-0.758];6770.62079;100),(308902.53401;[0.1923];[-0.7577];6795.15849;1;0;[0.1989];[-0.7511];6651.58362;200),(324646.96574;[0.3175];[-0.6325];11630.04800;1;0;[0.3218];[-0.6282];9495.32752;400)]"
4,10,8212.19632886353,0.80258,1,0,[0.2645],[-0.6855],656595.5324172974,"[(341781.51155;[0.2634];[-0.6866];11463.56367;1;0;[0.2645];[-0.6855];8212.19633;100),(377984.46918;[0.1951];[-0.7549];11754.24590;1;0;[0.1904];[-0.7596];7558.34904;200),(399216.80927;[0.2617];[-0.6883];13045.50764;1;0;[0.2571];[-0.6929];9259.84237;400)]"
5,1,6455.388429211218,0.9771,1,0,[0.1875],[-0.7625],613012.1915340424,"[(279855.59988;[0.1953];[-0.7547];6626.42151;1;0;[0.1875];[-0.7625];6455.38843;100),(456036.61966;[0.1953];[-0.7547];6626.42151;1;0;[0.1875];[-0.7625];6455.38843;100),(530402.08769;[0.1953];[-0.7547];6626.42151;1;0;[0.1875];[-0.7625];6455.38843;100)]"
5,2,6134.834499374833,0.92858,1,0,[0.1721],[-0.7779],658578.732252121,"[(312293.69426;[0.1666];[-0.7834];8207.85719;1;0;[0.1609];[-0.7891];5790.13757;100),(335797.03903;[0.1797];[-0.7703];8029.34345;1;0;[0.1721];[-0.7779];6134.83450;200)]"
5,3,5894.876769301451,0.89226,1,0,[0.1629],[-0.7871],667200.8855342865,"[(316330.93715;[0.1595];[-0.7905];6143.95852;1;0;[0.1629];[-0.7871];5894.87677;100),(598249.54057;[0.1595];[-0.7905];6143.95852;1;0;[0.1629];[-0.7871];5894.87677;100)]"
5,4,5621.199119599622,0.85084,1,0,[0.1662],[-0.7838],624121.3548183441,"[(311198.28415;[0.1581];[-0.7919];5837.68149;1;0;[0.1531];[-0.7969];4972.31280;100),(364215.70468;[0.1675];[-0.7825];6159.25597;1;0;[0.1662];[-0.7838];5621.19912;200)]"
5,6,4890.9296235679585,0.7403,1,0,[0.0354],[-0.9146],675206.1445713043,"[(343232.20229;[0.0337];[-0.9163];4970.09918;1;0;[0.0354];[-0.9146];4890.92962;100),(598146.52061;[0.0337];[-0.9163];4970.09918;1;0;[0.0354];[-0.9146];4890.92962;100)]"
5,5,5840.549374821208,0.88404,1,0,[0.1717],[-0.7783],853979.5281887054,"[(293215.17181;[0.1469];[-0.8031];5028.76799;1;0;[0.1493];[-0.8007];4782.25467;100),(313062.56413;[0.1518];[-0.7982];5099.01170;1;0;[0.1523];[-0.7977];4989.29363;200),(327219.44904;[0.1685];[-0.7815];5815.05681;1;0;[0.1717];[-0.7783];5840.54937;400)]"
5,8,6314.132872731864,0.95572,1,0,[0.1812],[-0.7688],636969.5978164673,"[(320209.55181;[0.1895];[-0.7605];6880.40256;1;0;[0.1812];[-0.7688];6314.13287;100),(560900.36011;[0.1895];[-0.7605];6880.40256;1;0;[0.1812];[-0.7688];6314.13287;100)]"
5,7,5647.570745516368,0.85483,1,0,[0.1512],[-0.7988],848366.509437561,"[(330198.77028;[0.0518];[-0.8982];2523.49723;1;0;[0.0518];[-0.8982];2523.49723;100),(367473.67954;[0.0684];[-0.8816];2812.89859;1;0;[0.0684];[-0.8816];2812.89859;200),(410634.00984;[0.1418];[-0.8082];5211.21727;1;0;[0.1418];[-0.8082];5211.21727;400),(441248.34657;[0.1512];[-0.7988];5647.57075;1;0;[0.1512];[-0.7988];5647.57075;800)]"
5,9,5784.267862966514,0.87552,1,0,[0.1826],[-0.7674],627250.1742839813,"[(325288.94949;[0.0522];[-0.8978];3243.42313;1;0;[0.0599];[-0.8901];2561.94831;100),(357705.17778;[0.0962];[-0.8538];4461.11750;1;0;[0.1029];[-0.8471];4305.28915;200),(382737.66327;[0.1776];[-0.7724];8310.02421;1;0;[0.1826];[-0.7674];5784.26786;400)]"
5,10,4390.677903048487,0.66458,1,0,[0.127],[-0.823],758611.3076210022,"[(319148.43631;[0.1297];[-0.8203];7884.67552;1;0;[0.127];[-0.823];4390.67790;100),(331783.95748;[0.1009];[-0.8491];8027.03581;1;0;[0.1007];[-0.8493];4154.78737;200),(353356.30107;[0.1221];[-0.8279];9090.03069;1;0;[0.115];[-0.835];5446.47426;400)]"
