Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,2,18379.6118351064,0.91662,1,0,[0.9258],[-0.0242],610.7134819030762,[(597.01967;[1.];[0.05];21184.52793;1;0;[0.9258];[-0.0242];18379.61184;10)]
1,1,14045.890779539508,0.93593,1,0,[0.9382],[-0.0118],651.512622833252,[(638.01241;[1.];[0.05];16827.72792;1;0;[0.9382];[-0.0118];14045.89078;10)]
0,4,18474.084646243053,0.92133,1,1,[1.],[0.05],594.4976806640625,[(580.96313;[1.];[0.05];17403.75220;1;1;[1.];[0.05];18474.08465;10)]
1,2,14106.387866192505,0.93996,1,0,[0.9483],[-0.0017],568.3906078338623,[(553.84183;[1.];[0.05];16079.04380;1;0;[0.9483];[-0.0017];14106.38787;10)]
0,5,15893.27040222999,0.79262,1,1,[1.],[0.05],765.1116847991943,[(751.76978;[1.];[0.05];15213.32655;1;1;[1.];[0.05];15893.27040;10)]
1,4,14043.171782806556,0.93575,1,1,[1.],[0.05],558.2571029663086,[(535.29119;[1.];[0.05];13543.84359;1;1;[1.];[0.05];14043.17178;10)]
0,1,18504.8414689842,0.92287,1,1,[0.9621],[0.0121],699.1653442382812,[(676.16320;[1.];[0.05];21698.33962;1;1;[0.9621];[0.0121];18504.84147;10)]
0,7,18651.148121330607,0.93016,1,1,[0.9813],[0.0313],621.8817234039307,[(598.98686;[1.];[0.05];18738.59174;1;1;[0.9813];[0.0313];18651.14812;10)]
0,8,18784.484854812956,0.93681,1,1,[1.],[0.05],739.0105724334717,[(715.99889;[1.];[0.05];17451.54628;1;1;[1.];[0.05];18784.48485;10)]
1,5,12109.312431626353,0.80689,1,1,[1.],[0.05],645.289421081543,[(622.40958;[1.];[0.05];11740.24432;1;1;[1.];[0.05];12109.31243;10)]
1,8,13970.0282156337,0.93087,1,1,[1.],[0.05],548.4185218811035,[(534.60836;[1.];[0.05];13347.86520;1;1;[1.];[0.05];13970.02822;10)]
1,7,14290.45659543936,0.95222,1,1,[0.9726],[0.0226],391.3395404815674,[(368.47329;[1.];[0.05];14236.10610;1;1;[0.9726];[0.0226];14290.45660;10)]
2,1,10774.898716471755,0.95001,1,0,[0.9083],[-0.0417],591.1350250244141,[(568.15886;[1.];[0.05];13106.69600;1;0;[0.9083];[-0.0417];10774.89872;10)]
2,2,10761.20990080819,0.9488,1,0,[0.9038],[-0.0462],637.819766998291,[(614.77709;[1.];[0.05];12484.69626;1;0;[0.9038];[-0.0462];10761.20990;10)]
2,5,10004.391738660686,0.88208,1,1,[1.],[0.05],676.0284900665283,[(659.42287;[1.];[0.05];9145.18136;1;1;[1.];[0.05];10004.39174;10)]
2,4,10971.851028549432,0.96738,1,1,[0.9592],[0.0092],707.1366310119629,[(684.22484;[1.];[0.05];10534.59271;1;1;[0.9592];[0.0092];10971.85103;10)]
2,8,10711.779830166477,0.94445,1,1,[1.],[0.05],345.1259136199951,[(330.89089;[1.];[0.05];10322.06967;1;1;[1.];[0.05];10711.77983;10)]
