Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,1,15986.72313092698,[1.],[0.05],164.98565673828125,[(159.93667;[1.];[0.05];16303.81118;[1.];[0.05];15986.72313;100)]
2,6,13486.189258918874,[1.],[0.05],211.03835105895996,[(205.48558;[1.];[0.05];13411.24230;[1.];[0.05];13486.18926;100)]
0,6,17833.81934403228,[1.],[0.05],149.6570110321045,[(144.73438;[1.];[0.05];17686.00061;[1.];[0.05];17833.81934;100)]
0,4,18213.73955181916,[1.],[0.05],293.5070991516113,[(288.68604;[1.];[0.05];17647.46256;[1.];[0.05];18213.73955;100)]
1,7,15981.088610404311,[0.9932],[0.0432],149.76859092712402,[(144.15669;[0.99];[0.04];15983.92298;[0.9932];[0.0432];15981.08861;100)]
1,3,15972.192225271257,[0.9993],[0.0493],242.77019500732422,[(237.58292;[1.];[0.05];15716.45329;[0.9993];[0.0493];15972.19223;100)]
0,1,18328.876152156874,[1.],[0.05],160.76350212097168,[(155.07555;[1.];[0.05];18661.83346;[1.];[0.05];18328.87615;100)]
2,1,13883.67512373633,[1.],[0.05],254.90713119506836,[(249.19319;[1.];[0.05];14172.06084;[1.];[0.05];13883.67512;100)]
1,5,15624.157446783849,[1.],[0.05],252.76827812194824,[(247.55120;[1.];[0.05];15898.72874;[1.];[0.05];15624.15745;100)]
0,9,18083.889285827914,[0.8968],[-0.0532],183.61830711364746,[(178.72453;[0.95];[0.];19136.21715;[0.8968];[-0.0532];18083.88929;100)]
2,4,13789.636200422561,[1.],[0.05],176.89132690429688,[(171.20886;[1.];[0.05];13320.61215;[1.];[0.05];13789.63620;100)]
1,4,15862.273988243982,[1.],[0.05],232.37013816833496,[(225.51918;[1.];[0.05];15363.38545;[1.];[0.05];15862.27399;100)]
0,7,18298.29349698812,[1.],[0.05],293.2758331298828,[(288.11193;[1.];[0.05];18284.68733;[1.];[0.05];18298.29350;100)]
2,3,13896.260481816304,[0.9977],[0.0477],253.64971160888672,[(248.15202;[1.];[0.05];13623.01835;[0.9977];[0.0477];13896.26048;100)]
0,8,18161.03189376399,[0.9131],[-0.0369],230.71908950805664,[(225.05903;[0.97];[0.02];19459.56086;[0.9131];[-0.0369];18161.03189;100)]
2,7,13901.21659133537,[0.9778],[0.0278],618.0415153503418,[(612.83588;[0.98];[0.03];13924.15040;[0.9778];[0.0278];13901.21659;100)]
0,3,18247.032308011978,[1.],[0.05],785.489559173584,[(778.16343;[1.];[0.05];18021.62079;[1.];[0.05];18247.03231;100)]
0,5,17939.368321919592,[1.],[0.05],644.0157890319824,[(638.95369;[1.];[0.05];18195.63156;[1.];[0.05];17939.36832;100)]
1,6,15505.455823241471,[1.],[0.05],852.7548313140869,[(847.16272;[1.];[0.05];15444.14513;[1.];[0.05];15505.45582;100)]
2,5,13617.707022932289,[1.],[0.05],819.2257881164551,[(813.92980;[1.];[0.05];13817.88037;[1.];[0.05];13617.70702;100)]
3,1,12202.46230186433,[1.],[0.05],96.18735313415527,[(90.72614;[1.];[0.05];12491.76569;[1.];[0.05];12202.46230;100)]
3,4,12103.654232917006,[1.],[0.05],156.31985664367676,[(150.88773;[1.];[0.05];11679.40700;[1.];[0.05];12103.65423;100)]
3,5,12120.38633566516,[1.],[0.05],439.93616104125977,[(434.88455;[1.];[0.05];12165.39988;[1.];[0.05];12120.38634;100)]
