Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,4,15862.273988243982,[1.],[0.05],3511.294364929199,[(3266.66164;[1.];[0.05];15975.96298;[1.];[0.05];15862.27399;100)]
0,4,18213.73955181916,[1.],[0.05],3572.044849395752,[(3326.60246;[1.];[0.05];18352.11167;[1.];[0.05];18213.73955;100)]
1,3,15972.192225271257,[0.9993],[0.0493],3400.5308151245117,[(3077.36540;[0.9993];[0.0493];15978.07108;[0.9993];[0.0493];15972.19223;100)]
0,7,18298.29349698812,[1.],[0.05],3503.1135082244873,[(3259.78374;[1.];[0.05];18298.29350;[1.];[0.05];18298.29350;100)]
2,7,13901.21659133537,[0.9778],[0.0278],3596.1127281188965,[(3368.56771;[0.9778];[0.0278];13901.21659;[0.9778];[0.0278];13901.21659;100)]
1,7,15981.088610404311,[0.9932],[0.0432],3705.296516418457,[(3421.64564;[0.9932];[0.0432];15981.08861;[0.9932];[0.0432];15981.08861;100)]
2,1,13883.67512373633,[1.],[0.05],3597.3072052001953,[(3370.30911;[1.];[0.05];13941.29970;[1.];[0.05];13883.67512;100)]
2,3,13896.260481816304,[0.9977],[0.0477],3625.610113143921,[(3401.10660;[0.9967];[0.0467];13895.82902;[0.9977];[0.0477];13896.26048;100)]
0,6,17833.81934403228,[1.],[0.05],3820.627450942993,[(3586.83419;[1.];[0.05];17768.49387;[1.];[0.05];17833.81934;100)]
1,1,15986.72313092698,[1.],[0.05],3940.9103393554688,[(3713.16981;[1.];[0.05];16052.26352;[1.];[0.05];15986.72313;100)]
2,4,13789.636200422561,[1.],[0.05],3710.005521774292,[(3484.35163;[1.];[0.05];13905.72110;[1.];[0.05];13789.63620;100)]
2,6,13486.189258918874,[1.],[0.05],3848.0520248413086,[(3616.95623;[1.];[0.05];13422.72104;[1.];[0.05];13486.18926;100)]
1,5,15624.157446783849,[1.],[0.05],4002.5715827941895,[(3774.52946;[1.];[0.05];15534.95382;[1.];[0.05];15624.15745;100)]
2,5,13617.707022932289,[1.],[0.05],4064.6986961364746,[(3833.70495;[1.];[0.05];13527.48461;[1.];[0.05];13617.70702;100)]
0,1,18328.876152156874,[1.],[0.05],3960.1778984069824,[(3732.27262;[1.];[0.05];18394.91100;[1.];[0.05];18328.87615;100)]
0,5,17939.368321919592,[1.],[0.05],3979.5329570770264,[(3685.85801;[1.];[0.05];17842.44257;[1.];[0.05];17939.36832;100)]
0,3,18247.032308011978,[1.],[0.05],4391.3068771362305,[(4157.30143;[1.];[0.05];18257.74587;[1.];[0.05];18247.03231;100)]
1,6,15505.455823241471,[1.],[0.05],4571.491241455078,[(4341.50338;[1.];[0.05];15431.27860;[1.];[0.05];15505.45582;100)]
3,4,12103.654232917006,[1.],[0.05],3720.637798309326,[(3426.03660;[1.];[0.05];12187.82345;[1.];[0.05];12103.65423;100)]
3,5,12120.38633566516,[1.],[0.05],3931.6654205322266,[(3705.61194;[1.];[0.05];12040.06967;[1.];[0.05];12120.38634;100)]
3,1,12202.46230186433,[1.],[0.05],3930.7498931884766,[(3604.89964;[1.];[0.05];12252.08972;[1.];[0.05];12202.46230;100)]
3,6,11926.474305276139,[1.],[0.05],4062.1869564056396,[(3843.31775;[1.];[0.05];11874.32780;[1.];[0.05];11926.47431;100)]
4,5,10808.483191564532,[0.9619],[0.0119],3909.5702171325684,[(3685.34446;[0.9632];[0.0132];10731.41773;[0.9619];[0.0119];10808.48319;100)]
4,6,10524.835942541966,[1.],[0.05],4120.014190673828,[(3831.37751;[1.];[0.05];10488.06639;[1.];[0.05];10524.83594;100)]
