Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,4,14327.10889254873,[0.9807],[0.0307],802.1020889282227,[(787.38022;[0.99];[0.04];13851.57165;[0.9807];[0.0307];14327.10889;100)]
0,3,19007.33073316298,[0.9669],[0.0169],817.4407482147217,[(802.61421;[0.96];[0.01];18784.94772;[0.9669];[0.0169];19007.33073;100)]
0,6,19613.21463833538,[1.],[0.05],821.4876651763916,[(806.31065;[1.];[0.05];17719.22427;[1.];[0.05];19613.21464;100)]
0,7,19628.62071590804,[0.944],[-0.006],972.4714756011963,[(957.51452;[0.97];[0.02];19238.39257;[0.944];[-0.006];19628.62072;100)]
0,4,19676.54227610379,[0.9752],[0.0252],1028.4695625305176,[(1013.27825;[0.98];[0.03];18135.72019;[0.9752];[0.0252];19676.54228;100)]
1,3,14322.510492531586,[0.975],[0.025],1072.214126586914,[(1057.08671;[0.97];[0.02];14223.27189;[0.975];[0.025];14322.51049;100)]
1,7,14679.03210123549,[0.938],[-0.012],719.0151214599609,[(704.43821;[0.98];[0.03];14564.14031;[0.938];[-0.012];14679.03210;100)]
1,6,14591.134740438803,[1.],[0.05],773.353099822998,[(757.74884;[1.];[0.05];13398.91747;[1.];[0.05];14591.13474;100)]
2,3,10989.478848786473,[0.9582],[0.0082],969.9513912200928,[(943.98832;[0.95];[0.];10938.64536;[0.9582];[0.0082];10989.47885;100)]
2,4,10994.760682179582,[0.9554],[0.0054],1025.892734527588,[(1000.77033;[0.98];[0.03];10639.39704;[0.9554];[0.0054];10994.76068;100)]
