Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,5,12109.312431626353,[1.],[0.05],567.4352645874023,[(554.08454;[1.];[0.05];11740.24432;[1.];[0.05];12109.31243;10)]
1,4,14043.171782806556,[1.],[0.05],547.7769374847412,[(534.47342;[1.];[0.05];13543.84359;[1.];[0.05];14043.17178;10)]
0,2,18379.6118351064,[0.9258],[-0.0242],530.7643413543701,[(517.02237;[1.];[0.05];21184.52793;[0.9258];[-0.0242];18379.61184;10)]
0,5,15893.27040222999,[1.],[0.05],638.9048099517822,[(625.79608;[1.];[0.05];15213.32655;[1.];[0.05];15893.27040;10)]
1,2,14106.387866192505,[0.9483],[-0.0017],634.6850395202637,[(621.43636;[1.];[0.05];16079.04380;[0.9483];[-0.0017];14106.38787;10)]
0,7,18651.148121330607,[0.9813],[0.0313],530.8585166931152,[(516.87121;[1.];[0.05];18738.59174;[0.9813];[0.0313];18651.14812;10)]
0,4,18474.084646243053,[1.],[0.05],502.3484230041504,[(488.98411;[1.];[0.05];17403.75220;[1.];[0.05];18474.08465;10)]
0,8,18784.484854812956,[1.],[0.05],722.2342491149902,[(708.99343;[1.];[0.05];17451.54628;[1.];[0.05];18784.48485;10)]
0,1,18504.8414689842,[0.9621],[0.0121],542.1261787414551,[(529.08063;[1.];[0.05];21698.33962;[0.9621];[0.0121];18504.84147;10)]
1,1,14045.890779539508,[0.9382],[-0.0118],641.2489414215088,[(627.48790;[1.];[0.05];16827.72792;[0.9382];[-0.0118];14045.89078;10)]
1,7,14290.45659543936,[0.9726],[0.0226],308.1181049346924,[(286.23390;[1.];[0.05];14236.10610;[0.9726];[0.0226];14290.45660;10)]
2,5,10004.391738660686,[1.],[0.05],431.47826194763184,[(417.38653;[1.];[0.05];9145.18136;[1.];[0.05];10004.39174;10)]
2,1,10774.898716471755,[0.9083],[-0.0417],564.2070770263672,[(550.88019;[1.];[0.05];13106.69600;[0.9083];[-0.0417];10774.89872;10)]
1,8,13970.0282156337,[1.],[0.05],373.1803894042969,[(350.96478;[1.];[0.05];13347.86520;[1.];[0.05];13970.02822;10)]
2,4,10971.851028549432,[0.9592],[0.0092],580.9478759765625,[(558.95948;[1.];[0.05];10534.59271;[0.9592];[0.0092];10971.85103;10)]
2,2,10761.20990080819,[0.9038],[-0.0462],531.257152557373,[(509.31096;[1.];[0.05];12484.69626;[0.9038];[-0.0462];10761.20990;10)]
2,7,10974.307652782998,[0.9525],[0.0025],338.5798931121826,[(324.40448;[1.];[0.05];10836.50423;[0.9525];[0.0025];10974.30765;10)]
2,8,10711.779830166477,[1.],[0.05],349.2274284362793,[(335.64091;[1.];[0.05];10322.06967;[1.];[0.05];10711.77983;10)]
3,1,8245.4705092029,[0.8326],[-0.1174],485.31413078308105,[(463.19652;[1.];[0.05];10093.80366;[0.8326];[-0.1174];8245.47051;10)]
3,4,8337.742415699095,[0.9059],[-0.0441],573.927640914917,[(551.55778;[1.];[0.05];8168.20144;[0.9059];[-0.0441];8337.74242;10)]
3,5,6964.017160637609,[1.],[0.05],698.3375549316406,[(683.87771;[1.];[0.05];7117.46017;[1.];[0.05];6964.01716;10)]
