Hardness,Seed,Objective,feas,surplus,Runtime,solutions
1,1,28855.31855536494,[0.9975],[0.0475],3751.5718936920166,[(3627.07067;[1.];[0.05];28051.80080;[0.9975];[0.0475];28855.31856;10)]
0,4,42964.50142863101,[0.9911],[0.0411],3726.6106605529785,[(3593.17231;[1.];[0.05];53325.84730;[0.9911];[0.0411];42964.50143;10)]
0,7,49052.11477221556,[0.9989],[0.0489],3781.421184539795,[(3639.59050;[1.];[0.05];40226.98324;[0.9989];[0.0489];49052.11477;10)]
0,6,40283.793697570945,[0.9674],[0.0174],4024.6846675872803,[(3912.32371;[1.];[0.05];60855.86271;[0.9674];[0.0174];40283.79370;10)]
0,1,48893.86878609465,[0.999],[0.049],3759.4857215881348,[(3645.77579;[1.];[0.05];44982.08531;[0.999];[0.049];48893.86879;10)]
0,8,46031.75103503665,[0.9984],[0.0484],4354.655742645264,[(4211.12990;[1.];[0.05];54601.11692;[0.9984];[0.0484];46031.75104;10)]
0,2,43093.336698648076,[0.9935],[0.0435],4582.191467285156,[(4450.20628;[1.];[0.05];56195.76021;[0.9935];[0.0435];43093.33670;10)]
1,4,25439.348102755248,[0.9777],[0.0277],4707.101106643677,[(4566.18571;[1.];[0.05];35908.56869;[0.9777];[0.0277];25439.34810;10)]
0,10,39350.09410306986,[0.59],[-0.36],4496.656656265259,[(4309.07440;[1.];[0.05];126470.77789;[0.59];[-0.36];39350.09410;10)]
1,5,25041.823163890127,[0.9971],[0.0471],5786.466121673584,[(5670.20965;[1.];[0.05];29449.08267;[0.9971];[0.0471];25041.82316;10)]
0,5,37687.65019848816,[0.9983],[0.0483],6959.172964096069,[(6846.99678;[1.];[0.05];44184.69001;[0.9983];[0.0483];37687.65020;10)]
1,7,28623.70231021141,[0.9966],[0.0466],3284.111738204956,[(3170.33815;[1.];[0.05];25696.15545;[0.9966];[0.0466];28623.70231;10)]
1,8,27903.30463625825,[0.9879],[0.0379],3532.653331756592,[(3418.64133;[1.];[0.05];36210.49313;[0.9879];[0.0379];27903.30464;10)]
2,1,16878.037285796257,[0.9759],[0.0259],3055.025339126587,[(2940.30070;[1.];[0.05];17958.94539;[0.9759];[0.0259];16878.03729;10)]
1,10,27987.859206899153,[0.608],[-0.342],3942.4824714660645,[(3829.06795;[1.];[0.05];85158.98405;[0.608];[-0.342];27987.85921;10)]
2,5,16623.890685682833,[0.9952],[0.0452],3555.4072856903076,[(3409.72877;[1.];[0.05];19723.06194;[0.9952];[0.0452];16623.89069;10)]
2,7,17224.008917568903,[0.9923],[0.0423],3320.4476833343506,[(3207.13186;[1.];[0.05];16568.39541;[0.9923];[0.0423];17224.00892;10)]
2,10,18001.544120809718,[0.5464],[-0.4036],3849.2050170898438,[(3734.47633;[1.];[0.05];55571.53396;[0.5464];[-0.4036];18001.54412;10)]
0,9,30955.758800938973,[0.963],[0.013],600299.0732192993,"[(3484.47442;[0.6];[-0.35];360584.87164;[0.4181];[-0.5319];27157.82722;10),(14166.55326;[0.6];[-0.35];360584.87164;[0.4181];[-0.5319];27157.82722;10),(19642.70687;[0.6];[-0.35];360584.87164;[0.4181];[-0.5319];27157.82722;10),(23938.71975;[0.6];[-0.35];347905.56960;[0.5733];[-0.3767];32183.09550;10),(38553.51114;[1.];[0.05];330161.27419;[0.9801];[0.0301];35102.41411;10),(49482.80907;[0.8];[-0.15];339638.42831;[0.7806];[-0.1694];34214.41119;10),(59365.28921;[1.];[0.05];336055.12422;[0.9667];[0.0167];32000.02267;10),(92032.18150;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(120035.81667;[0.8];[-0.15];337599.73793;[0.8108];[-0.1392];33705.22927;10),(136168.39743;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(153845.87097;[0.9];[-0.05];337025.05253;[0.8304];[-0.1196];34947.89077;10),(169277.82774;[0.9];[-0.05];336989.15761;[0.8289];[-0.1211];33500.03044;10),(187560.53472;[0.8];[-0.15];336729.41817;[0.8282];[-0.1218];33289.15969;10),(203769.77849;[0.9];[-0.05];336611.17553;[0.8329];[-0.1171];34851.56171;10),(224494.12966;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10),(247699.93901;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(263207.73268;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10),(280194.43917;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10),(300909.72519;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(312776.52192;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(326749.02582;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(341956.33078;[0.6];[-0.35];360584.87164;[0.4181];[-0.5319];27157.82722;10),(348747.89143;[0.6];[-0.35];360584.87164;[0.4181];[-0.5319];27157.82722;10),(355430.13287;[0.6];[-0.35];347905.56960;[0.5733];[-0.3767];32183.09550;10),(372625.94986;[1.];[0.05];330161.27419;[0.9801];[0.0301];35102.41411;10),(384841.57681;[0.8];[-0.15];339638.42831;[0.7806];[-0.1694];34214.41119;10),(395766.42990;[1.];[0.05];336055.12422;[0.9667];[0.0167];32000.02267;10),(428814.57567;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(454153.63312;[0.8];[-0.15];337599.73793;[0.8108];[-0.1392];33705.22927;10),(470655.75933;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(488913.63859;[0.9];[-0.05];337025.05253;[0.8304];[-0.1196];34947.89077;10),(506024.44863;[0.9];[-0.05];336989.15761;[0.8289];[-0.1211];33500.03044;10),(524270.53046;[0.8];[-0.15];336729.41817;[0.8282];[-0.1218];33289.15969;10),(538919.62481;[0.9];[-0.05];336611.17553;[0.8329];[-0.1171];34851.56171;10),(558225.00658;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10),(577151.90482;[1.];[0.05];336598.49724;[0.963];[0.013];30955.75880;10),(591358.30903;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10),(600177.26231;[0.8];[-0.15];336600.73197;[0.8284];[-0.1216];33287.19867;10)]"
1,3,16060.418546738936,[0.8189],[-0.1311],600307.6198101044,"[(3960.93655;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(14947.32714;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(20314.68558;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(25841.19606;[0.4];[-0.55];126964.88828;[0.3529];[-0.5971];13883.29764;10),(31146.13056;[1.];[0.05];116440.11303;[0.9382];[-0.0118];15210.45341;10),(45352.99420;[0.6];[-0.35];121955.18705;[0.4634];[-0.4866];13447.79523;10),(57151.23916;[0.9];[-0.05];118704.88642;[0.8112];[-0.1388];16038.48465;10),(64189.14056;[1.];[0.05];117087.76938;[0.9343];[-0.0157];15232.52456;10),(76318.83669;[1.];[0.05];117190.53306;[0.9358];[-0.0142];15168.01339;10),(96310.12249;[1.];[0.05];117927.54562;[0.8231];[-0.1269];16013.77944;10),(113422.30844;[1.];[0.05];118326.50330;[0.8606];[-0.0894];17349.15778;10),(130813.08651;[1.];[0.05];118507.57198;[0.8208];[-0.1292];16038.96567;10),(150776.39294;[0.9];[-0.05];118600.92613;[0.8537];[-0.0963];17328.20925;10),(166309.79347;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(179037.84204;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(185039.09516;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(189579.51260;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(208346.41790;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(218187.71386;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(223581.53415;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(241385.04672;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(255108.30569;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(261843.58621;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(268373.29030;[0.4];[-0.55];126964.88828;[0.3529];[-0.5971];13883.29764;10),(274263.90624;[1.];[0.05];116440.11303;[0.9382];[-0.0118];15210.45341;10),(287195.89067;[0.6];[-0.35];121955.18705;[0.4634];[-0.4866];13447.79523;10),(298127.09308;[0.9];[-0.05];118704.88642;[0.8112];[-0.1388];16038.48465;10),(304983.33621;[1.];[0.05];117087.76938;[0.9343];[-0.0157];15232.52456;10),(317297.15228;[1.];[0.05];117190.53306;[0.9358];[-0.0142];15168.01339;10),(336868.42489;[1.];[0.05];117927.54562;[0.8231];[-0.1269];16013.77944;10),(353066.90407;[1.];[0.05];118326.50330;[0.8606];[-0.0894];17349.15778;10),(372885.95271;[1.];[0.05];118507.57198;[0.8208];[-0.1292];16038.96567;10),(390075.34122;[0.9];[-0.05];118600.92613;[0.8537];[-0.0963];17328.20925;10),(405271.56568;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(418343.33944;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(424333.47464;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(428174.79300;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(442963.35649;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(453025.30432;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(458585.78825;[0.9];[-0.05];118564.63859;[0.8189];[-0.1311];16062.12644;10),(479576.38645;[1.];[0.05];118556.26245;[0.8189];[-0.1311];16060.41855;10),(493685.58598;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(500749.19438;[0.3];[-0.65];131815.99527;[0.2833];[-0.6667];12018.82788;10),(507916.51917;[0.4];[-0.55];126964.88828;[0.3529];[-0.5971];13883.29764;10),(514272.92204;[1.];[0.05];116440.11303;[0.9382];[-0.0118];15210.45341;10),(528567.63601;[0.6];[-0.35];121955.18705;[0.4634];[-0.4866];13447.79523;10),(539976.62115;[0.9];[-0.05];118704.88642;[0.8112];[-0.1388];16038.48465;10),(547445.59455;[1.];[0.05];117087.76938;[0.9343];[-0.0157];15232.52456;10),(558552.31953;[1.];[0.05];117190.53306;[0.9358];[-0.0142];15168.01339;10),(576701.44391;[1.];[0.05];117927.54562;[0.8231];[-0.1269];16013.77944;10),(595306.74076;[1.];[0.05];118326.50330;[0.8606];[-0.0894];17349.15778;10),(600162.13441;[1.];[0.05];118507.57198;[0.8208];[-0.1292];16038.96567;10)]"
2,9,10375.452886965986,[0.9343],[-0.0157],600438.4763240814,"[(3757.44557;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(15215.36613;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(21049.66426;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(40304.35276;[0.3];[-0.65];205339.80905;[0.1886];[-0.7614];7895.20720;10),(46548.01178;[0.7];[-0.25];182693.96982;[0.761];[-0.189];9933.30236;10),(66986.29332;[1.];[0.05];164382.64201;[0.948];[-0.002];10514.50637;10),(81873.78931;[0.8];[-0.15];174870.90669;[0.8801];[-0.0699];10289.31446;10),(103326.53022;[1.];[0.05];169655.90765;[0.9366];[-0.0134];10408.04569;10),(127472.30458;[0.8];[-0.15];172297.34248;[0.9012];[-0.0488];10311.35433;10),(145057.58262;[0.8];[-0.15];170985.21334;[0.9146];[-0.0354];10320.24664;10),(156580.05905;[1.];[0.05];170290.19753;[0.9344];[-0.0156];10380.43134;10),(187997.99466;[0.8];[-0.15];170586.07017;[0.9177];[-0.0323];10335.32857;10),(202853.28102;[0.8];[-0.15];170455.27489;[0.9172];[-0.0328];10258.36448;10),(212533.70357;[0.8];[-0.15];170362.09700;[0.917];[-0.033];10251.03734;10),(229122.19715;[1.];[0.05];170341.28462;[0.9344];[-0.0156];10375.24482;10),(242534.36065;[1.];[0.05];170352.60383;[0.9343];[-0.0157];10375.45289;10),(255586.20000;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(268987.48994;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(275969.77568;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(281890.59186;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(295626.87874;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(302714.79774;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(322412.68992;[0.3];[-0.65];205339.80905;[0.1886];[-0.7614];7895.20720;10),(327146.40570;[0.7];[-0.25];182693.96982;[0.761];[-0.189];9933.30236;10),(348689.63432;[1.];[0.05];164382.64201;[0.948];[-0.002];10514.50637;10),(361482.08070;[0.8];[-0.15];174870.90669;[0.8801];[-0.0699];10289.31446;10),(378066.41698;[1.];[0.05];169655.90765;[0.9366];[-0.0134];10408.04569;10),(400962.11123;[0.8];[-0.15];172297.34248;[0.9012];[-0.0488];10311.35433;10),(419202.02518;[0.8];[-0.15];170985.21334;[0.9146];[-0.0354];10320.24664;10),(430910.43735;[1.];[0.05];170290.19753;[0.9344];[-0.0156];10380.43134;10),(464350.66962;[0.8];[-0.15];170586.07017;[0.9177];[-0.0323];10335.32857;10),(481720.81757;[0.8];[-0.15];170455.27489;[0.9172];[-0.0328];10258.36448;10),(492004.75979;[0.8];[-0.15];170362.09700;[0.917];[-0.033];10251.03734;10),(508953.10569;[1.];[0.05];170341.28462;[0.9344];[-0.0156];10375.24482;10),(521391.56532;[1.];[0.05];170352.60383;[0.9343];[-0.0157];10375.45289;10),(533367.64550;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(545083.22477;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(550940.16647;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(556210.71219;[0.8];[-0.15];170353.05348;[0.9171];[-0.0329];10251.62724;10),(569888.98158;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(577301.82981;[0.4];[-0.55];222751.05257;[0.1603];[-0.7897];5969.72705;10),(597132.27081;[0.3];[-0.65];205339.80905;[0.1886];[-0.7614];7895.20720;10),(600233.68239;[0.7];[-0.25];181169.25837;[0.7636];[-0.1864];9946.72336;10)]"
3,5,10965.47894422963,[0.9886],[0.0386],6215.245962142944,[(6060.42838;[1.];[0.05];13483.30017;[0.9886];[0.0386];10965.47894;10)]
