Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,3,19007.33073316298,0.94793,1,1,[0.9669],[0.0169],785.4340076446533,[(769.98329;[0.96];[0.01];18784.94772;1;1;[0.9669];[0.0169];19007.33073;100)]
1,3,14322.510492531586,0.95436,1,1,[0.975],[0.025],807.3551654815674,[(792.05441;[0.97];[0.02];14223.27189;1;1;[0.975];[0.025];14322.51049;100)]
0,7,19628.62071590804,0.97891,1,0,[0.944],[-0.006],934.3609809875488,[(919.11173;[0.97];[0.02];19238.39257;1;0;[0.944];[-0.006];19628.62072;100)]
0,6,19613.21463833538,0.97814,1,1,[1.],[0.05],1062.0079040527344,[(1046.73171;[1.];[0.05];17719.22427;1;1;[1.];[0.05];19613.21464;100)]
0,4,19676.54227610379,0.9813,1,1,[0.9752],[0.0252],1244.9989318847656,[(1226.70102;[0.98];[0.03];18135.72019;1;1;[0.9752];[0.0252];19676.54228;100)]
1,4,14327.10889254873,0.95467,1,1,[0.9807],[0.0307],1234.2419624328613,[(1218.50491;[0.99];[0.04];13851.57165;1;1;[0.9807];[0.0307];14327.10889;100)]
1,6,14591.134740438803,0.97226,1,1,[1.],[0.05],768.317461013794,[(753.06487;[1.];[0.05];13398.91747;1;1;[1.];[0.05];14591.13474;100)]
1,7,14679.03210123549,0.97812,1,0,[0.938],[-0.012],800.8975982666016,[(785.63118;[0.98];[0.03];14564.14031;1;0;[0.938];[-0.012];14679.03210;100)]
2,3,10989.478848786473,0.96893,1,1,[0.9582],[0.0082],680.579662322998,[(665.49015;[0.95];[0.];10938.64536;1;1;[0.9582];[0.0082];10989.47885;100)]
2,4,10994.760682179582,0.9694,1,1,[0.9554],[0.0054],673.1522083282471,[(658.25057;[0.98];[0.03];10639.39704;1;1;[0.9554];[0.0054];10994.76068;100)]
