Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
1,8,15303.548483169336,0.95656,1,1,[1.],[0.05],210.28971672058105,[(206.79665;[1.];[0.05];15580.75178;1;1;[1.];[0.05];15303.54848;10)]
0,8,17299.733936549026,0.94352,1,1,[1.],[0.05],144.8822021484375,[(141.17384;[1.];[0.05];17931.50788;1;1;[1.];[0.05];17299.73394;10)]
0,4,17189.204325409853,0.93749,1,1,[1.],[0.05],195.3103542327881,[(191.27846;[1.];[0.05];17594.05886;1;1;[1.];[0.05];17189.20433;10)]
0,5,15697.12433652682,0.85612,1,1,[0.9572],[0.0072],113.64293098449707,[(107.23925;[1.];[0.05];18818.04666;1;1;[0.9572];[0.0072];15697.12434;10)]
1,1,15685.338746039984,0.98042,1,0,[0.9004],[-0.0496],178.22790145874023,[(172.28699;[1.];[0.05];18317.83036;1;0;[0.9004];[-0.0496];15685.33875;10)]
0,6,17919.058874128954,0.9773,1,0,[0.9391],[-0.0109],166.3351058959961,[(159.85656;[1.];[0.05];19129.39145;1;0;[0.9391];[-0.0109];17919.05887;10)]
2,1,13632.59323337368,0.98018,1,0,[0.8449],[-0.1051],121.0927963256836,[(115.71503;[1.];[0.05];15884.81716;1;0;[0.8449];[-0.1051];13632.59323;10)]
1,4,15117.210134256095,0.94491,1,1,[1.],[0.05],203.54008674621582,[(197.04151;[1.];[0.05];15305.94182;1;1;[1.];[0.05];15117.21013;10)]
2,4,13256.86989761685,0.95317,1,1,[1.],[0.05],259.28401947021484,[(252.72727;[1.];[0.05];13252.09347;1;1;[1.];[0.05];13256.86990;10)]
1,7,15074.766896992096,0.94226,1,0,[0.942],[-0.008],145.67136764526367,[(138.36622;[1.];[0.05];15552.71903;1;0;[0.942];[-0.008];15074.76690;10)]
2,7,13041.634802652967,0.93769,1,0,[0.9068],[-0.0432],160.07184982299805,[(153.03755;[1.];[0.05];13468.31238;1;0;[0.9068];[-0.0432];13041.63480;10)]
0,7,17551.69575172564,0.95726,1,1,[0.9536],[0.0036],210.70194244384766,[(204.03504;[1.];[0.05];17871.67367;1;1;[0.9536];[0.0036];17551.69575;10)]
0,10,17489.84131138749,0.95389,1,0,[0.8487],[-0.1013],453.7794589996338,[(447.44730;[1.];[0.05];33434.42342;1;0;[0.8487];[-0.1013];17489.84131;10)]
1,2,15556.024478069558,0.97234,1,0,[0.9239],[-0.0261],526.1292457580566,[(519.44876;[1.];[0.05];17576.85451;1;0;[0.9239];[-0.0261];15556.02448;10)]
2,8,13138.118384022768,0.94463,1,1,[1.],[0.05],333.0411911010742,[(328.30930;[1.];[0.05];13451.31267;1;1;[1.];[0.05];13138.11838;10)]
1,5,13644.868921748299,0.85288,1,0,[0.9233],[-0.0267],429.68153953552246,[(424.09229;[1.];[0.05];16253.10742;1;0;[0.9233];[-0.0267];13644.86892;10)]
0,1,17884.72982786803,0.97543,1,0,[0.9367],[-0.0133],262.5994682312012,[(254.87590;[1.];[0.05];20997.26328;1;0;[0.9367];[-0.0133];17884.72983;10)]
2,5,11799.469925506955,0.84838,1,0,[0.8808],[-0.0692],301.0601997375488,[(296.95582;[1.];[0.05];13969.95987;1;0;[0.8808];[-0.0692];11799.46993;10)]
0,2,17798.935607828545,0.97075,1,1,[0.9516],[0.0016],578.1857967376709,[(574.09978;[1.];[0.05];19995.36962;1;1;[0.9516];[0.0016];17798.93561;10)]
1,10,15461.996426446498,0.96646,1,0,[0.8054],[-0.1446],699.7406482696533,[(695.72735;[1.];[0.05];29914.30715;1;0;[0.8054];[-0.1446];15461.99643;10)]
2,10,13346.971854409352,0.95964,1,0,[0.7254],[-0.2246],794.0082550048828,[(790.18307;[1.];[0.05];26752.55362;1;0;[0.7254];[-0.2246];13346.97185;10)]
3,4,11614.313104557034,0.94927,1,1,[0.9973],[0.0473],392.61460304260254,[(384.77349;[1.];[0.05];11622.46829;1;1;[0.9973];[0.0473];11614.31310;10)]
3,7,11538.791392746643,0.9431,1,0,[0.8484],[-0.1016],98.54674339294434,[(92.47184;[1.];[0.05];11809.99265;1;0;[0.8484];[-0.1016];11538.79139;10)]
3,10,11670.771814112304,0.95388,1,0,[0.6377],[-0.3123],656.5830707550049,[(650.12670;[1.];[0.05];24190.15324;1;0;[0.6377];[-0.3123];11670.77181;10)]
3,8,11405.751074049196,0.93222,1,1,[1.],[0.05],392.84205436706543,[(386.07407;[1.];[0.05];11763.99441;1;1;[1.];[0.05];11405.75107;10)]
4,8,10299.957775237915,0.94784,1,1,[1.],[0.05],128.08871269226074,[(120.51225;[1.];[0.05];10382.60782;1;1;[1.];[0.05];10299.95778;10)]
4,7,10117.111771168993,0.93102,1,0,[0.7632],[-0.1868],130.74946403503418,[(124.11451;[1.];[0.05];10410.16871;1;0;[0.7632];[-0.1868];10117.11177;10)]
