Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,6,40283.793697570945,0.77929,1,1,[0.9675],[0.0175],3843.1291580200195,[(3723.09709;[1.];[0.05];60855.86271;1;1;[0.9675];[0.0175];40283.79370;10)]
0,7,49052.11477221556,0.94891,1,1,[0.9989],[0.0489],3913.9564037323,[(3788.25307;[1.];[0.05];40226.98324;1;1;[0.9989];[0.0489];49052.11477;10)]
1,1,28855.31855536494,0.86475,1,1,[0.9975],[0.0475],4055.3364753723145,[(3870.89491;[1.];[0.05];28051.80080;1;1;[0.9975];[0.0475];28855.31856;10)]
0,1,48893.86878609465,0.94585,1,1,[0.999],[0.049],4004.7521591186523,[(3886.21378;[1.];[0.05];44982.08531;1;1;[0.999];[0.049];48893.86879;10)]
0,8,46031.75103503665,0.89049,1,1,[0.9984],[0.0484],4469.687700271606,[(4355.34811;[1.];[0.05];54601.11692;1;1;[0.9984];[0.0484];46031.75104;10)]
0,10,39350.09410306986,0.76123,1,0,[0.59],[-0.36],4670.236110687256,[(4554.84939;[1.];[0.05];126470.77789;1;0;[0.59];[-0.36];39350.09410;10)]
0,4,42964.50142863101,0.83115,1,1,[0.9911],[0.0411],4263.296604156494,[(4134.62520;[1.];[0.05];53325.84730;1;1;[0.9911];[0.0411];42964.50143;10)]
0,2,43093.336698648076,0.83364,1,1,[0.9935],[0.0435],4801.717042922974,[(4601.39084;[1.];[0.05];56195.76021;1;1;[0.9935];[0.0435];43093.33670;10)]
1,4,25439.348102755248,0.76238,1,1,[0.9777],[0.0277],5354.165077209473,[(5212.83174;[1.];[0.05];35908.56869;1;1;[0.9777];[0.0277];25439.34810;10)]
1,5,25041.823163890127,0.75046,1,1,[0.9971],[0.0471],6662.271976470947,[(6544.61694;[1.];[0.05];29449.08267;1;1;[0.9971];[0.0471];25041.82316;10)]
0,5,37687.65019848816,0.72907,1,1,[0.9983],[0.0483],7063.701391220093,[(6949.42403;[1.];[0.05];44184.69001;1;1;[0.9983];[0.0483];37687.65020;10)]
1,7,28623.70231021141,0.85781,1,1,[0.9966],[0.0466],3284.825086593628,[(3170.44330;[1.];[0.05];25696.15545;1;1;[0.9966];[0.0466];28623.70231;10)]
2,1,16878.037285796257,0.7726,1,1,[0.9759],[0.0259],2999.4771480560303,[(2879.92120;[1.];[0.05];17958.94539;1;1;[0.9759];[0.0259];16878.03729;10)]
1,8,27903.30463625825,0.83622,1,1,[0.9879],[0.0379],3643.528938293457,[(3520.36905;[1.];[0.05];36210.49313;1;1;[0.9879];[0.0379];27903.30464;10)]
1,10,27987.859206899153,0.83875,1,0,[0.608],[-0.342],3697.002649307251,[(3582.77416;[1.];[0.05];85158.98405;1;0;[0.608];[-0.342];27987.85921;10)]
2,5,16623.890685682833,0.76097,1,1,[0.9952],[0.0452],3547.642469406128,[(3433.58183;[1.];[0.05];19723.06194;1;1;[0.9952];[0.0452];16623.89069;10)]
2,7,17224.008917568903,0.78844,1,1,[0.9923],[0.0423],3266.3073539733887,[(3152.31133;[1.];[0.05];16568.39541;1;1;[0.9923];[0.0423];17224.00892;10)]
2,10,18001.544120809718,0.82403,1,0,[0.5464],[-0.4036],3700.1633644104004,[(3585.52408;[1.];[0.05];55571.53396;1;0;[0.5464];[-0.4036];18001.54412;10)]
0,9,30955.758800938973,0.59884,1,1,[0.963],[0.013],600448.7459659576,"[(3669.95549;[0.6];[-0.35];360584.87164;1;0;[0.4181];[-0.5319];27157.82722;10),(14503.57294;[0.6];[-0.35];360584.87164;1;0;[0.4181];[-0.5319];27157.82722;10),(21112.93554;[0.6];[-0.35];360584.87164;1;0;[0.4181];[-0.5319];27157.82722;10),(25491.78386;[0.6];[-0.35];347905.56960;1;0;[0.5733];[-0.3767];32183.09550;10),(40623.71230;[1.];[0.05];330161.27419;1;1;[0.9801];[0.0301];35102.41411;10),(51944.63801;[0.8];[-0.15];339638.42831;1;0;[0.7806];[-0.1694];34214.41119;10),(61381.08635;[1.];[0.05];336055.12422;1;1;[0.9667];[0.0167];32000.02267;10),(94972.11361;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(122944.90862;[0.8];[-0.15];337599.73793;1;0;[0.8108];[-0.1392];33705.22927;10),(139852.53072;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(157655.20310;[0.9];[-0.05];337025.05253;1;0;[0.8304];[-0.1196];34947.89077;10),(174877.11453;[0.9];[-0.05];336989.15761;1;0;[0.8289];[-0.1211];33500.03044;10),(193143.28313;[0.8];[-0.15];336729.41817;1;0;[0.8282];[-0.1218];33289.15969;10),(209182.98125;[0.9];[-0.05];336611.17553;1;0;[0.8329];[-0.1171];34851.56171;10),(229426.00942;[0.8];[-0.15];336600.73197;1;0;[0.8284];[-0.1216];33287.19867;10),(250659.53517;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(267153.46432;[0.8];[-0.15];336600.73197;1;0;[0.8284];[-0.1216];33287.19867;10),(284215.53135;[0.8];[-0.15];336600.73197;1;0;[0.8284];[-0.1216];33287.19867;10),(302835.79612;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(315258.69846;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(329848.72437;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(345116.46461;[0.6];[-0.35];360584.87164;1;0;[0.4181];[-0.5319];27157.82722;10),(354163.26594;[0.6];[-0.35];360584.87164;1;0;[0.4181];[-0.5319];27157.82722;10),(359342.03219;[0.6];[-0.35];347905.56960;1;0;[0.5733];[-0.3767];32183.09550;10),(377993.10279;[1.];[0.05];330161.27419;1;1;[0.9801];[0.0301];35102.41411;10),(390017.66229;[0.8];[-0.15];339638.42831;1;0;[0.7806];[-0.1694];34214.41119;10),(400144.97423;[1.];[0.05];336055.12422;1;1;[0.9667];[0.0167];32000.02267;10),(434644.97638;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(461664.60443;[0.8];[-0.15];337599.73793;1;0;[0.8108];[-0.1392];33705.22927;10),(477703.51887;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(496391.88552;[0.9];[-0.05];337025.05253;1;0;[0.8304];[-0.1196];34947.89077;10),(510985.76474;[0.9];[-0.05];336989.15761;1;0;[0.8289];[-0.1211];33500.03044;10),(528366.68754;[0.8];[-0.15];336729.41817;1;0;[0.8282];[-0.1218];33289.15969;10),(543219.76352;[0.9];[-0.05];336611.17553;1;0;[0.8329];[-0.1171];34851.56171;10),(562907.85813;[0.8];[-0.15];336600.73197;1;0;[0.8284];[-0.1216];33287.19867;10),(583357.45311;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10),(600294.91043;[1.];[0.05];336598.49724;1;1;[0.963];[0.013];30955.75880;10)]"
