Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,3,49650.27665641439,0.96049,1,1,[0.9997],[0.0497],7505.614757537842,[(7384.63068;[1.];[0.05];46151.05135;1;1;[0.9997];[0.0497];49650.27666;100)]
1,4,30755.348149215228,0.92169,1,1,[0.9987],[0.0487],7423.224925994873,[(7303.59530;[1.];[0.05];31420.70439;1;1;[0.9987];[0.0487];30755.34815;100)]
1,1,33128.5060221189,0.99281,1,1,[0.998],[0.048],7869.413614273071,[(7735.39996;[1.];[0.05];33944.93244;1;1;[0.998];[0.048];33128.50602;100)]
1,5,30640.351297838988,0.91824,1,1,[0.9983],[0.0483],7915.2045249938965,[(7782.69601;[1.];[0.05];35848.47912;1;1;[0.9983];[0.0483];30640.35130;100)]
0,1,51156.76317679375,0.98963,1,1,[1.],[0.05],7939.269781112671,[(7805.62901;[1.];[0.05];52538.09105;1;1;[1.];[0.05];51156.76318;100)]
0,8,50879.85826630237,0.98427,1,1,[0.9991],[0.0491],7894.12260055542,[(7755.57780;[1.];[0.05];56429.13697;1;1;[0.9991];[0.0491];50879.85827;100)]
0,7,45395.31630743565,0.87817,1,1,[0.9998],[0.0498],7873.295068740845,[(7712.33225;[1.];[0.05];75242.48058;1;1;[0.9998];[0.0498];45395.31631;100)]
1,3,32098.416034866423,0.96194,1,1,[0.9996],[0.0496],8269.814491271973,[(8152.53830;[1.];[0.05];29561.08228;1;1;[0.9996];[0.0496];32098.41603;100)]
0,4,49141.559596555715,0.95065,1,1,[0.9992],[0.0492],8336.101531982422,[(8215.61861;[1.];[0.05];48108.71540;1;1;[0.9992];[0.0492];49141.55960;100)]
0,9,43014.327592503665,0.83211,1,1,[0.9951],[0.0451],8082.518815994263,[(7931.86855;[1.];[0.05];61072.70126;1;1;[0.9951];[0.0451];43014.32759;100)]
0,5,48367.58276158482,0.93567,1,1,[0.9994],[0.0494],7970.863580703735,[(7815.92607;[1.];[0.05];54026.11947;1;1;[0.9994];[0.0494];48367.58276;100)]
0,6,49762.516059597176,0.96266,1,1,[0.9999],[0.0499],9804.500102996826,[(9687.61420;[1.];[0.05];46092.39074;1;1;[0.9999];[0.0499];49762.51606;100)]
2,3,20854.961869983214,0.95465,1,1,[0.9987],[0.0487],7376.0387897491455,[(7242.02919;[1.];[0.05];18843.83483;1;1;[0.9987];[0.0487];20854.96187;100)]
1,8,32861.93222565776,0.98482,1,1,[0.9931],[0.0431],7681.643486022949,[(7524.88756;[1.];[0.05];36897.68214;1;1;[0.9931];[0.0431];32861.93223;100)]
2,4,19642.145695998348,0.89913,1,1,[0.9978],[0.0478],8017.102956771851,[(7898.22102;[1.];[0.05];20725.07013;1;1;[0.9978];[0.0478];19642.14570;100)]
2,6,19386.823845319752,0.88744,1,1,[0.9984],[0.0484],7894.509553909302,[(7695.40381;[1.];[0.05];18406.69372;1;1;[0.9984];[0.0484];19386.82385;100)]
1,6,32318.29356697106,0.96853,1,1,[0.9995],[0.0495],9063.327074050903,[(8946.62189;[1.];[0.05];29229.47630;1;1;[0.9995];[0.0495];32318.29357;100)]
