Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,8,18292.25497819238,[0.9827],[0.0327],86101.70364379883,"[(3475.86799;[0.921];[-0.029];18568.12311;[0.9131];[-0.0369];18161.03189;100),(7847.15867;[0.921];[-0.029];18568.12311;[0.9131];[-0.0369];18161.03189;100),(34147.74704;[0.921];[-0.029];18568.12311;[0.9131];[-0.0369];18161.03189;200),(67767.87400;[0.9847];[0.0347];18647.63768;[0.9827];[0.0327];18292.25498;400)]"
2,9,13744.6112709109,[0.9982],[0.0482],101107.8987121582,"[(3582.71027;[0.781];[-0.169];13554.15923;[0.7743];[-0.1757];13568.85444;100),(8117.07902;[0.781];[-0.169];13554.15923;[0.7743];[-0.1757];13568.85444;100),(35461.83395;[0.8372];[-0.1128];13675.22455;[0.8348];[-0.1152];13688.44478;200),(71495.72563;[0.9977];[0.0477];13725.02804;[0.9982];[0.0482];13744.61127;400)]"
1,9,15895.93332536797,[0.9991],[0.0491],90244.15802955627,"[(3633.28123;[0.8697];[-0.0803];15725.92759;[0.8679];[-0.0821];15735.82988;100),(7503.97038;[0.8697];[-0.0803];15725.92759;[0.8679];[-0.0821];15735.82988;100),(35154.31428;[0.8996];[-0.0504];15812.45814;[0.8971];[-0.0529];15823.41569;200),(67531.45790;[0.9995];[0.0495];15880.51645;[0.9991];[0.0491];15895.93333;400)]"
4,7,10563.712511293466,[0.9567],[0.0067],81585.66522598267,"[(7260.32400;[0.6361];[-0.3139];10627.71213;[0.6361];[-0.3139];10627.71213;100),(25904.11949;[0.6361];[-0.3139];10627.71213;[0.6361];[-0.3139];10627.71213;100),(64160.05182;[0.9567];[0.0067];10563.71251;[0.9567];[0.0067];10563.71251;200)]"
2,7,13667.461254557256,[1.],[0.05],121692.46292114258,"[(3294.50607;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(5130.62859;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(8569.39268;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(27216.55107;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(38807.64914;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(54453.90129;[0.9459];[-0.0041];13712.25012;[0.9459];[-0.0041];13712.25012;100),(71814.31961;[0.8742];[-0.0758];13387.08154;[0.8742];[-0.0758];13387.08154;100),(105255.30100;[1.];[0.05];13667.46125;[1.];[0.05];13667.46125;200)]"
0,2,18302.14669860684,[0.9988],[0.0488],127226.09615325928,"[(3951.99418;[0.9226];[-0.0274];18431.51904;[0.9237];[-0.0263];18184.45898;100),(8313.94649;[0.9226];[-0.0274];18431.51904;[0.9237];[-0.0263];18184.45898;100),(28693.58015;[0.9204];[-0.0296];18427.60586;[0.9205];[-0.0295];18178.82317;200),(63701.11918;[0.8951];[-0.0549];18354.71383;[0.8959];[-0.0541];18097.00925;400),(105219.79976;[0.9988];[0.0488];18509.76876;[0.9988];[0.0488];18302.14670;800)]"
0,10,17811.112638263086,[0.9517],[0.0017],142163.10214996338,"[(4121.38462;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(7394.13619;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(26244.36069;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(39958.05740;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(55916.10861;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(88862.71238;[0.8895];[-0.0605];18430.75747;[0.8949];[-0.0551];18097.64738;100),(115524.71972;[0.9502];[0.0002];18074.56654;[0.9517];[0.0017];17811.11264;100)]"
4,5,10353.993949678588,[0.9999],[0.0499],156289.74270820618,"[(3873.90018;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(8475.24452;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(30022.08257;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(48265.29932;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(79134.82046;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(113213.49001;[0.929];[-0.021];10475.91166;[0.9292];[-0.0208];10557.40369;100),(126912.59694;[1.];[0.05];9669.85894;[1.];[0.05];9682.35305;100),(145024.21308;[1.];[0.05];10295.39829;[0.9999];[0.0499];10353.99395;100)]"
1,8,15134.95302460086,[0.9514],[0.0014],450912.2247695923,"[(3666.66317;[0.8697];[-0.0803];16132.62699;[0.8611];[-0.0889];15759.78980;100),(7478.36828;[0.8697];[-0.0803];16132.62699;[0.8611];[-0.0889];15759.78980;100),(30498.12460;[0.8815];[-0.0685];16161.33272;[0.8737];[-0.0763];15794.77823;200),(57401.07155;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;400),(114006.67667;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(141119.48895;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(172059.13091;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(205322.40653;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(239543.22433;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(274833.22525;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(301366.58144;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(337181.37527;[0.8905];[-0.0595];16172.49977;[0.8827];[-0.0673];15811.46862;800),(368673.27666;[0.9397];[-0.0103];15689.17999;[0.938];[-0.012];15390.12084;800),(401248.82126;[0.9658];[0.0158];15018.04117;[0.9634];[0.0134];14805.49389;800),(427585.47282;[0.9539];[0.0039];15401.38078;[0.9514];[0.0014];15134.95302;800)]"
1,2,15118.894639522197,[0.9529],[0.0029],507221.3475704193,"[(4148.57364;[0.8841];[-0.0659];16031.77437;[0.8827];[-0.0673];15811.46862;100),(7894.15336;[0.8841];[-0.0659];16031.77437;[0.8827];[-0.0673];15811.46862;100),(35610.67009;[0.8799];[-0.0701];16026.81442;[0.8788];[-0.0712];15804.74869;200),(67856.20785;[0.86];[-0.09];15982.50283;[0.8591];[-0.0909];15755.18847;400),(117053.42436;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(147648.95248;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(182838.57441;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(224955.66583;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(276540.30609;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(311565.13715;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(350976.01295;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(386266.94417;[0.9103];[-0.0397];16042.82136;[0.9103];[-0.0397];15829.72511;800),(399335.55031;[0.9436];[-0.0064];15445.50786;[0.9443];[-0.0057];15255.39046;800),(429823.18115;[0.9729];[0.0229];14679.76982;[0.9716];[0.0216];14538.39653;800),(455740.06701;[0.961];[0.011];15100.02614;[0.9616];[0.0116];14933.41646;800),(485496.38629;[0.9535];[0.0035];15298.95380;[0.9529];[0.0029];15118.89464;800)]"
